recording_id,session,box,scenario,item_count,core_box_handling_seconds,core_timing_review_required,annotated_operation_seconds,elapsed_span_seconds
U0101,S0100,1,S1,1,48.903,False,93.531,93.531
U0101,S0100,2,S1,4,49.821,False,143.87,143.87
U0101,S0100,3,S1,1,33.523,False,74.205,74.205
U0101,S0100,4,S1,2,41.072,False,101.845,101.845
U0101,S0100,5,S1,1,40.222,False,88.701,88.701
U0101,S0100,6,S1,1,38.946,False,87.421,87.421
U0101,S0100,7,S1,1,42.599,False,91.187,91.187
U0101,S0100,8,S1,1,31.256,False,69.478,69.478
U0101,S0100,9,S1,1,38.556,False,86.012,86.012
U0101,S0100,10,S1,1,36.112,False,70.609,70.609
U0101,S0100,11,S1,4,39.918,False,114.886,114.886
U0101,S0100,12,S1,5,52.624,False,147.242,151.176
U0101,S0100,13,S1,1,42.884,False,93.213,99.45
U0101,S0100,14,S1,2,79.486,False,138.381,138.381
U0101,S0100,15,S1,1,37.209,False,79.379,79.379
U0101,S0100,16,S1,3,47.247,False,138.752,138.752
U0101,S0100,17,S1,2,39.547,False,91.282,94.449
U0101,S0100,18,S1,4,61.343,False,161.207,161.207
U0101,S0100,19,S1,1,62.158,False,118.208,118.208
U0101,S0100,20,S1,2,48.802,False,139.399,139.399
U0101,S0200,1,S1,3,44.36,False,118.731,118.731
U0101,S0200,2,S1,3,34.112,False,90.026,90.026
U0101,S0200,3,S1,1,46.752,False,95.331,95.331
U0101,S0200,4,S1,1,29.605,False,66.28,66.28
U0101,S0200,5,S1,1,30.75,False,65.904,65.904
U0101,S0200,6,S1,2,25.61,False,68.976,68.976
U0101,S0200,7,S1,5,29.924,False,108.98,108.98
U0101,S0200,8,S1,5,37.616,False,105.236,105.236
U0101,S0200,9,S1,4,36.738,False,103.036,103.036
U0101,S0200,10,S1,1,31.356,False,67.42,67.42
U0101,S0200,11,S1,1,35.386,False,71.972,71.972
U0101,S0200,12,S1,1,34.51,False,74.444,74.444
