recording_id,person_id,session,box,scenario,item_count,station_seconds_excluding_picking,picking_seconds,nonwork_or_error_seconds,elapsed_seconds,gap_seconds,missing_core_labels,incident_count,annotation_event_count,annotation_categories,review_flags,screen_pass
U0101,U0101,S0100,1,S1,1,80.222,13.309,0.0,93.531,0.0,,0,0,,,True
U0101,U0101,S0100,2,S1,4,135.27,8.6,0.0,143.87,0.0,,1,1,Incident,incident_or_recovery_overlap,False
U0101,U0101,S0100,3,S1,1,65.848,8.357,0.0,74.205,0.0,,0,0,,,True
U0101,U0101,S0100,4,S1,2,90.369,11.476,0.0,101.845,0.0,,0,1,Struggling,,True
U0101,U0101,S0100,5,S1,1,81.546,7.155,0.0,88.701,-0.0,,1,1,Incident,incident_or_recovery_overlap,False
U0101,U0101,S0100,6,S1,1,80.197,7.224,0.0,87.421,0.0,,0,1,Struggling,,True
U0101,U0101,S0100,7,S1,1,81.976,9.211,0.0,91.187,0.0,,0,3,Struggling,,True
U0101,U0101,S0100,8,S1,1,62.648,6.83,0.0,69.478,0.0,,0,1,Struggling,,True
U0101,U0101,S0100,9,S1,1,66.749,19.263,0.0,86.012,0.0,,0,2,Struggling,,True
U0101,U0101,S0100,10,S1,1,70.609,0.0,0.0,70.609,0.0,,1,3,Incident;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0100,11,S1,4,104.06,10.826,0.0,114.886,0.0,,0,1,Struggling,,True
U0101,U0101,S0100,12,S1,5,131.772,15.47,0.0,151.176,3.934,,0,2,Additional;Struggling,,True
U0101,U0101,S0100,13,S1,1,80.654,9.268,3.291,99.45,6.237,,0,2,Struggling,nonwork_or_error_label,False
U0101,U0101,S0100,14,S1,2,126.397,11.984,0.0,138.381,0.0,,1,4,Recovery;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0100,15,S1,1,71.043,8.336,0.0,79.379,0.0,,0,1,Struggling,,True
U0101,U0101,S0100,16,S1,3,112.25,15.14,11.362,138.752,0.0,,0,1,Investigation,nonwork_or_error_label,False
U0101,U0101,S0100,17,S1,2,80.444,10.838,0.0,94.449,3.167,,0,0,,,True
U0101,U0101,S0100,18,S1,4,137.673,21.531,2.003,161.207,0.0,,0,2,Investigation,nonwork_or_error_label,False
U0101,U0101,S0100,19,S1,1,102.072,10.012,6.124,118.208,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0101,U0101,S0100,20,S1,2,128.88,10.519,0.0,139.399,0.0,,0,2,Struggling,,True
U0101,U0101,S0200,1,S1,3,106.15,12.581,0.0,118.731,0.0,,0,2,Struggling,,True
U0101,U0101,S0200,2,S1,3,82.018,8.008,0.0,90.026,0.0,,0,0,,,True
U0101,U0101,S0200,3,S1,1,87.008,8.323,0.0,95.331,0.0,,2,4,Confused;Incident;Recovery;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0200,4,S1,1,59.272,7.008,0.0,66.28,0.0,,0,0,,,True
U0101,U0101,S0200,5,S1,1,59.899,6.005,0.0,65.904,0.0,,0,1,Struggling,,True
U0101,U0101,S0200,6,S1,2,62.904,6.072,0.0,68.976,0.0,,0,0,,,True
U0101,U0101,S0200,7,S1,5,99.404,9.576,0.0,108.98,0.0,,0,1,Struggling,,True
U0101,U0101,S0200,8,S1,5,95.32,9.916,0.0,105.236,0.0,,0,1,Struggling,,True
U0101,U0101,S0200,9,S1,4,95.396,7.64,0.0,103.036,0.0,,0,1,Struggling,,True
U0101,U0101,S0200,10,S1,1,60.672,6.748,0.0,67.42,0.0,,0,0,,,True
U0101,U0101,S0200,11,S1,1,63.95,8.022,0.0,71.972,0.0,,0,0,,,True
U0101,U0101,S0200,12,S1,1,64.944,9.5,0.0,74.444,0.0,,0,0,,,True
U0101,U0101,S0200,13,S1,1,65.687,9.078,0.0,74.765,0.0,,0,0,,,True
U0101,U0101,S0200,14,S1,3,93.288,10.181,0.0,103.469,0.0,,0,2,Struggling,,True
U0101,U0101,S0200,15,S1,1,79.646,11.934,5.694,97.274,0.0,,0,2,Struggling,nonwork_or_error_label,False
U0101,U0101,S0200,16,S1,3,87.936,9.116,0.0,97.052,0.0,,0,0,,,True
U0101,U0101,S0200,17,S1,1,63.741,7.928,0.0,79.075,7.406,,0,0,,,True
U0101,U0101,S0200,18,S1,1,61.8,7.217,0.0,69.017,0.0,,0,1,Struggling,,True
U0101,U0101,S0200,19,S1,1,64.38,7.256,0.0,75.87,4.234,,0,1,Struggling,,True
U0101,U0101,S0200,20,S1,1,97.835,6.63,0.0,104.465,0.0,,3,6,Incident;Investigation;Recovery;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0300,1,S1,1,69.595,9.113,0.0,78.708,0.0,,0,1,Struggling,,True
U0101,U0101,S0300,2,S1,1,64.268,8.252,0.0,72.52,0.0,,0,0,,,True
U0101,U0101,S0300,3,S1,5,116.277,12.953,0.0,129.23,0.0,,0,1,Struggling,,True
U0101,U0101,S0300,4,S1,5,107.883,9.839,0.0,117.722,0.0,,0,1,Struggling,,True
U0101,U0101,S0300,5,S1,1,61.935,6.68,0.0,68.615,0.0,,0,2,Struggling,,True
U0101,U0101,S0300,6,S1,2,77.289,12.851,0.0,90.14,0.0,,0,1,Confused,,True
U0101,U0101,S0300,7,S1,3,91.246,8.746,0.0,99.992,0.0,,0,0,,,True
U0101,U0101,S0300,8,S1,2,64.6,7.156,0.0,71.756,0.0,,0,0,,,True
U0101,U0101,S0300,9,S1,1,59.734,7.29,0.0,67.024,0.0,,0,1,Struggling,,True
U0101,U0101,S0300,10,S1,1,59.579,5.581,0.0,65.16,0.0,,0,0,,,True
U0101,U0101,S0300,11,S1,1,65.56,8.741,0.0,74.301,0.0,,0,0,,,True
U0101,U0101,S0300,12,S1,1,76.252,8.823,0.0,85.075,0.0,,0,1,Struggling,,True
U0101,U0101,S0300,13,S1,1,54.998,7.638,0.0,62.636,0.0,,0,0,,,True
U0101,U0101,S0300,14,S1,1,82.515,9.324,0.0,106.696,14.857,,0,1,Struggling,,True
U0101,U0101,S0300,15,S1,1,76.708,6.596,0.0,83.304,0.0,,0,2,Investigation;Struggling,,True
U0101,U0101,S0300,16,S1,2,76.712,8.048,0.0,84.76,0.0,,0,0,,,True
U0101,U0101,S0300,17,S1,1,62.585,8.888,0.0,71.473,0.0,,0,0,,,True
U0101,U0101,S0300,18,S1,2,71.898,7.912,0.0,79.81,0.0,,0,0,,,True
U0101,U0101,S0300,19,S1,3,93.908,7.438,0.0,101.346,0.0,,0,3,Confused;Struggling,,True
U0101,U0101,S0300,20,S1,3,107.278,13.236,14.906,135.42,0.0,,0,2,Additional;Struggling,nonwork_or_error_label,False
U0101,U0101,S0400,1,S1,1,69.569,9.086,0.0,78.655,0.0,,2,4,Additional;Incident;Recovery;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0400,2,S1,1,77.012,8.835,0.0,88.904,3.057,,0,2,Struggling,,True
U0101,U0101,S0400,3,S1,1,67.09,7.608,0.0,74.698,0.0,,0,0,,,True
U0101,U0101,S0400,4,S1,1,70.458,7.409,0.0,77.867,0.0,,0,2,Struggling,,True
U0101,U0101,S0400,5,S1,2,77.609,8.829,0.0,86.438,0.0,,1,3,Additional;Incident;Struggling,incident_or_recovery_overlap,False
U0101,U0101,S0400,6,S1,1,76.826,9.79,0.0,86.616,0.0,,0,2,Additional;Struggling,,True
U0101,U0101,S0400,7,S1,1,77.775,8.139,0.0,85.914,0.0,,0,4,Struggling,,True
U0101,U0101,S0400,8,S1,1,75.682,13.376,4.118,93.176,0.0,,0,1,Additional,nonwork_or_error_label,False
U0101,U0101,S0400,9,S1,5,149.769,16.127,5.502,171.398,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0101,U0101,S0400,10,S1,1,63.649,8.394,0.0,72.043,0.0,,0,1,Struggling,,True
U0101,U0101,S0400,11,S1,1,72.788,12.199,0.0,84.987,0.0,,0,0,,,True
U0101,U0101,S0400,12,S1,1,70.108,10.087,0.0,80.195,0.0,,0,0,,,True
U0101,U0101,S0400,13,S1,1,68.773,9.12,0.0,77.893,0.0,,0,3,Parallel;Struggling,,True
U0101,U0101,S0400,14,S1,1,72.352,8.709,0.0,81.061,0.0,,0,2,Struggling,,True
U0101,U0101,S0400,15,S1,1,69.759,10.085,0.0,79.844,0.0,,0,0,,,True
U0101,U0101,S0400,16,S1,4,117.521,18.156,16.522,152.199,0.0,Close Box,0,1,Struggling,missing_core_labels;nonwork_or_error_label,False
U0101,U0101,S0400,17,S1,3,81.6,8.959,3.801,94.36,0.0,,0,1,Struggling,nonwork_or_error_label,False
U0101,U0101,S0400,18,S1,1,61.689,7.451,0.0,69.14,0.0,,0,1,Parallel,,True
U0101,U0101,S0400,19,S1,1,67.469,10.203,0.0,81.344,3.672,,0,3,Investigation;Struggling,,True
U0101,U0101,S0400,20,S1,5,134.917,10.198,0.0,145.115,0.0,,0,0,,,True
U0101,U0101,S0500,1,S1,1,70.417,7.352,0.0,82.48,4.711,,1,2,Confused;Incident,incident_or_recovery_overlap,False
