source_line,order_id,units,wave
10505,122049,1,42462
15363,120131,5,42062
15366,120131,5,42061
15367,120131,5,42061
15368,120131,5,42061
15370,120131,5,42060
15372,120131,5,42060
15373,120131,5,42060
15375,120131,5,42059
15376,120131,5,42059
15377,120131,5,42059
15378,120131,5,42059
15380,120131,5,42058
15381,120131,5,42058
15382,120131,5,42058
15383,120131,5,42058
15386,120131,5,42057
15387,120131,5,42057
15388,120131,5,42057
15390,120131,5,42056
15391,120131,5,42056
15392,120131,5,42056
15393,120131,5,42056
15395,120131,5,42055
15396,120131,5,42055
15397,120131,5,42055
15398,120131,5,42055
15400,120131,5,42054
15402,120131,5,42054
15403,120131,5,42054
15405,120131,5,42053
15406,120131,5,42053
15407,120131,5,42053
15410,120131,5,42052
15411,120131,5,42052
15412,120131,5,42052
15413,120131,5,42052
15415,120131,5,42051
15416,120131,5,42051
15417,120131,5,42051
15418,120131,5,42051
15420,120131,5,42050
15422,120131,5,42050
15423,120131,5,42050
15425,120131,5,42049
15426,120131,5,42049
15427,120131,5,42049
15428,120131,5,42049
15430,120131,5,42048
15431,120131,5,42048
15432,120131,5,42048
15433,120131,5,42048
15435,120131,5,42047
15436,120131,5,42047
15437,120131,5,42047
15438,120131,5,42047
15441,120131,5,42046
15442,120131,5,42046
15443,120131,5,42046
15445,120131,5,42045
15446,120131,5,42045
15448,120131,5,42045
15450,120131,5,42044
15451,120131,5,42044
15452,120131,5,42044
15453,120131,5,42044
15455,120131,5,42043
15456,120131,5,42043
15457,120131,5,42043
15458,120131,5,42043
15460,120131,5,42042
15462,120131,5,42042
15463,120131,5,42042
15466,120131,5,42041
15467,120131,5,42041
15468,120131,5,42041
15471,120130,5,42040
15472,120130,5,42040
15473,120130,5,42040
15474,120130,5,42040
15476,120130,5,42039
15477,120130,5,42039
15478,120130,5,42039
15479,120130,5,42039
15481,120130,5,42038
15482,120130,5,42038
15483,120130,5,42038
15484,120130,5,42038
15487,120130,5,42037
15488,120130,5,42037
15489,120130,5,42037
15491,120130,5,42036
15492,120130,5,42036
15493,120130,5,42036
15494,120130,5,42036
15496,120130,5,42035
15497,120130,5,42035
15498,120130,5,42035
15499,120130,5,42035
15501,120130,5,42034
15502,120130,5,42034
15503,120130,5,42034
15504,120130,5,42034
15506,120130,5,42033
15507,120130,5,42033
15508,120130,5,42033
15509,120130,5,42033
15511,120130,5,42032
15512,120130,5,42032
15513,120130,5,42032
15514,120130,5,42032
15516,120130,5,42031
15517,120130,5,42031
15518,120130,5,42031
15519,120130,5,42031
15521,120130,5,42030
15522,120130,5,42030
15523,120130,5,42030
15524,120130,5,42030
15526,120130,5,42029
15527,120130,5,42029
15528,120130,5,42029
15529,120130,5,42029
15531,120130,5,42028
15532,120130,5,42028
15534,120130,5,42028
15536,120130,5,42027
15537,120130,5,42027
15538,120130,5,42027
15539,120130,5,42027
15541,120130,5,42026
15542,120130,5,42026
15544,120130,5,42026
15546,120130,5,42025
15547,120130,5,42025
15548,120130,5,42025
15549,120130,5,42025
15551,120130,5,42024
15552,120130,5,42024
15553,120130,5,42024
15554,120130,5,42024
15556,120130,5,42023
15557,120130,5,42023
15558,120130,5,42023
15559,120130,5,42023
15561,120130,5,42022
15562,120130,5,42022
15563,120130,5,42022
15564,120130,5,42022
15566,120130,5,42021
15567,120130,5,42021
15568,120130,5,42021
15569,120130,5,42021
15572,120130,5,42020
15573,120130,5,42020
15574,120130,5,42020
15576,120130,5,42019
15577,120130,5,42019
15578,120130,5,42019
15579,120130,5,42019
15581,120130,5,42018
15582,120130,5,42018
15583,120130,5,42018
15584,120130,5,42018
15586,120130,5,42017
15587,120130,5,42017
15588,120130,5,42017
15589,120130,5,42017
15591,120130,5,42016
15592,120130,5,42016
15593,120130,5,42016
15594,120130,5,42016
15596,120130,5,42015
15597,120130,5,42015
15599,120130,5,42015
15601,120130,5,42014
15602,120130,5,42014
15603,120130,5,42014
15604,120130,5,42014
15606,120130,5,42013
15607,120130,5,42013
15608,120130,5,42013
15609,120130,5,42013
15611,120130,5,42012
15612,120130,5,42012
15613,120130,5,42012
15614,120130,5,42012
15616,120130,5,42011
15617,120130,5,42011
15618,120130,5,42011
15621,120130,5,42010
15622,120130,5,42010
15623,120130,5,42010
15624,120130,5,42010
15626,120130,5,42009
15627,120130,5,42009
15628,120130,5,42009
15629,120130,5,42009
15631,120130,5,42008
15632,120130,5,42008
15633,120130,5,42008
15634,120130,5,42008
15636,120130,5,42007
15637,120130,5,42007
15638,120130,5,42007
15639,120130,5,42007
15641,120130,5,42006
15642,120130,5,42006
15643,120130,5,42006
15644,120130,5,42006
15646,120130,5,42005
15647,120130,5,42005
15648,120130,5,42005
15649,120130,5,42005
15651,120130,5,42004
15653,120130,5,42004
15654,120130,5,42004
15656,120130,5,42003
15657,120130,5,42003
15658,120130,5,42003
15659,120130,5,42003
15661,120130,5,42002
15662,120130,5,42002
15663,120130,5,42002
15664,120130,5,42002
15666,120130,5,42001
15667,120130,5,42001
15668,120130,5,42001
15669,120130,5,42001
15671,120130,5,42000
15672,120130,5,42000
15673,120130,5,42000
15676,120130,5,41999
15677,120130,5,41999
15678,120130,5,41999
15679,120130,5,41999
15681,120130,5,41998
15682,120130,5,41998
15683,120130,5,41998
15684,120130,5,41998
15686,120130,5,41997
15687,120130,5,41997
15689,120130,5,41997
15691,120130,5,41996
15692,120130,5,41996
15693,120130,5,41996
15694,120130,5,41996
15696,120130,5,41995
15697,120130,5,41995
15698,120130,5,41995
15699,120130,5,41995
15701,120130,5,41994
15702,120130,5,41994
15703,120130,5,41994
15704,120130,5,41994
15706,120130,5,41993
15707,120130,5,41993
15708,120130,5,41993
15709,120130,5,41993
15711,120130,5,41992
15712,120130,5,41992
15713,120130,5,41992
15714,120130,5,41992
15716,120130,5,41991
15717,120130,5,41991
15719,120130,5,41991
15721,120130,5,41990
15722,120130,5,41990
15723,120130,5,41990
15724,120130,5,41990
15727,120130,5,41989
15728,120130,5,41989
15729,120130,5,41989
15731,120130,5,41988
15732,120130,5,41988
15733,120130,5,41988
15734,120130,5,41988
15736,120130,5,41987
15737,120130,5,41987
15739,120130,5,41987
15742,120130,5,41986
15744,120130,5,41986
17972,119646,5,41836
17973,119646,5,41836
17974,119646,5,41836
17976,119646,5,41835
17977,119646,5,41835
17978,119646,5,41835
17981,119646,5,41834
17982,119646,5,41834
17983,119646,5,41834
17984,119646,5,41834
17986,119646,5,41833
17988,119646,5,41833
17989,119646,5,41833
17991,119646,5,41832
17992,119646,5,41832
17993,119646,5,41832
17994,119646,5,41832
17996,119646,5,41831
17997,119646,5,41831
17998,119646,5,41831
17999,119646,5,41831
18001,119646,5,41830
18002,119646,5,41830
18003,119646,5,41830
18004,119646,5,41830
18006,119646,5,41829
18007,119646,5,41829
18008,119646,5,41829
18009,119646,5,41829
18011,119646,5,41828
18012,119646,5,41828
18013,119646,5,41828
18014,119646,5,41828
18016,119646,5,41827
18017,119646,5,41827
18018,119646,5,41827
18021,119646,5,41826
18022,119646,5,41826
18023,119646,5,41826
18024,119646,5,41826
18026,119646,5,41825
18028,119646,5,41825
18029,119646,5,41825
18031,119646,5,41824
18032,119646,5,41824
18033,119646,5,41824
18034,119646,5,41824
18036,119646,5,41823
18037,119646,5,41823
18038,119646,5,41823
18039,119646,5,41823
18041,119646,5,41822
18042,119646,5,41822
18044,119646,5,41822
18046,119646,5,41821
18047,119646,5,41821
18048,119646,5,41821
18049,119646,5,41821
18052,119646,5,41820
18053,119646,5,41820
18054,119646,5,41820
18056,119646,5,41819
18057,119646,5,41819
18058,119646,5,41819
18059,119646,5,41819
18061,119646,5,41818
18062,119646,5,41818
18063,119646,5,41818
18064,119646,5,41818
18066,119646,5,41817
18067,119646,5,41817
18068,119646,5,41817
18069,119646,5,41817
18071,119646,5,41816
18072,119646,5,41816
18073,119646,5,41816
18074,119646,5,41816
18076,119646,5,41815
18077,119646,5,41815
18078,119646,5,41815
18079,119646,5,41815
18081,119646,5,41814
18082,119646,5,41814
18083,119646,5,41814
18084,119646,5,41814
18086,119646,5,41813
18087,119646,5,41813
18088,119646,5,41813
18089,119646,5,41813
18091,119646,5,41812
18092,119646,5,41812
18093,119646,5,41812
18094,119646,5,41812
18096,119646,5,41811
18097,119646,5,41811
18098,119646,5,41811
18099,119646,5,41811
18101,119646,5,41810
18102,119646,5,41810
18103,119646,5,41810
18104,119646,5,41810
18106,119646,5,41809
18107,119646,5,41809
18108,119646,5,41809
18109,119646,5,41809
18111,119646,5,41808
18112,119646,5,41808
18113,119646,5,41808
18114,119646,5,41808
18116,119646,5,41807
18117,119646,5,41807
18118,119646,5,41807
18119,119646,5,41807
18121,119646,5,41806
18122,119646,5,41806
18124,119646,5,41806
18126,119646,5,41805
18127,119646,5,41805
18128,119646,5,41805
18129,119646,5,41805
18132,119646,5,41804
18133,119646,5,41804
18134,119646,5,41804
18136,119646,5,41803
18137,119646,5,41803
18138,119646,5,41803
18141,119646,5,41802
18142,119646,5,41802
18143,119646,5,41802
18144,119646,5,41802
18146,119646,5,41801
18148,119646,5,41801
18149,119646,5,41801
18151,119646,5,41800
18152,119646,5,41800
18153,119646,5,41800
18154,119646,5,41800
18156,119646,5,41799
18157,119646,5,41799
18158,119646,5,41799
18159,119646,5,41799
18161,119646,5,41798
18162,119646,5,41798
18163,119646,5,41798
18164,119646,5,41798
18166,119646,5,41797
18167,119646,5,41797
18168,119646,5,41797
18169,119646,5,41797
18171,119646,5,41796
18172,119646,5,41796
18173,119646,5,41796
18174,119646,5,41796
18176,119646,5,41795
18177,119646,5,41795
18178,119646,5,41795
18179,119646,5,41795
18181,119646,5,41794
18182,119646,5,41794
18183,119646,5,41794
18184,119646,5,41794
18186,119646,5,41793
18188,119646,5,41793
18189,119646,5,41793
18191,119646,5,41792
18192,119646,5,41792
18193,119646,5,41792
18194,119646,5,41792
18196,119646,5,41791
18197,119646,5,41791
18198,119646,5,41791
18199,119646,5,41791
18201,119646,5,41790
18202,119646,5,41790
18204,119646,5,41790
18206,119646,5,41789
18207,119646,5,41789
18208,119646,5,41789
18209,119646,5,41789
18212,119646,5,41788
18213,119646,5,41788
18214,119646,5,41788
18216,119646,5,41787
18217,119646,5,41787
18218,119646,5,41787
18221,119646,5,41786
18222,119646,5,41786
18223,119646,5,41786
18224,119646,5,41786
18226,119646,5,41785
18227,119646,5,41785
18228,119646,5,41785
18229,119646,5,41785
18231,119646,5,41784
18232,119646,5,41784
18233,119646,5,41784
18234,119646,5,41784
18236,119646,5,41783
18237,119646,5,41783
18238,119646,5,41783
18239,119646,5,41783
18241,119646,5,41782
18242,119646,5,41782
18244,119646,5,41782
18246,119646,5,41781
18247,119646,5,41781
18248,119646,5,41781
18249,119646,5,41781
18252,119646,5,41780
18253,119646,5,41780
18254,119646,5,41780
18256,119646,5,41779
18257,119646,5,41779
18258,119646,5,41779
18261,119646,5,41778
