basis,month,recorded_dates,orders,units,large_order_share,large_unit_share,daily_mean,daily_p90,daily_max
retained,2023-01,19,3936,22407,0.16056910569105692,0.7392332753157496,1179.3157894736842,2254,2819
retained,2023-02,19,4670,23445,0.14989293361884368,0.7136702921731712,1233.9473684210527,1943,2383
retained,2023-03,17,3229,25852,0.1988231650665841,0.8209036051369333,1520.7058823529412,3482,5911
retained,2023-04,16,3258,21837,0.22897483118477593,0.7986902962861199,1364.8125,3072,3489
retained,2023-05,19,3705,31862,0.2704453441295547,0.8413156738434499,1676.9473684210527,2698,3822
retained,2023-06,21,2760,23421,0.22065217391304348,0.8394603133939627,1115.2857142857142,2095,3416
retained,2023-07,18,2658,18390,0.22610985703536493,0.8,1021.6666666666666,1711,2395
retained,2023-08,21,3520,23205,0.21051136363636364,0.7805214393449688,1105,2483,4599
retained,2023-09,15,2579,20942,0.23575029081039162,0.8309617037532232,1396.1333333333334,2785,3603
retained,2023-10,13,2319,16834,0.25442000862440706,0.8103837471783296,1294.923076923077,2341,5347
deduplicated_sensitivity,2023-01,19,3936,20970,0.16056910569105692,0.7213638531235098,1103.6842105263158,1908,2254
deduplicated_sensitivity,2023-02,19,4670,22035,0.14989293361884368,0.6953483095076015,1159.7368421052631,1943,2383
deduplicated_sensitivity,2023-03,17,3229,25849,0.1988231650665841,0.8209601918836319,1520.5294117647059,3482,5910
deduplicated_sensitivity,2023-04,16,3258,21835,0.22897483118477593,0.7986718571101442,1364.6875,3070,3489
deduplicated_sensitivity,2023-05,19,3705,29197,0.2704453441295547,0.8268315237866904,1536.6842105263158,2427,2698
deduplicated_sensitivity,2023-06,21,2760,19120,0.22065217391304348,0.803347280334728,910.4761904761905,1981,2095
deduplicated_sensitivity,2023-07,18,2658,18389,0.22610985703536493,0.7999891239327859,1021.6111111111111,1711,2395
deduplicated_sensitivity,2023-08,21,3520,23125,0.21051136363636364,0.7797621621621622,1101.1904761904761,2483,4599
deduplicated_sensitivity,2023-09,15,2579,18106,0.23575029081039162,0.8044847012040207,1207.0666666666666,2785,3603
deduplicated_sensitivity,2023-10,13,2319,16834,0.25442000862440706,0.8103837471783296,1294.923076923077,2341,5347
