order_id,date,month,units,source_rows,segment
100000,2023-03-14,2023-03,1,1,small_1_5
100001,2023-03-14,2023-03,18,15,large_over_5
100002,2023-03-14,2023-03,7,5,large_over_5
100003,2023-03-14,2023-03,36,19,large_over_5
100004,2023-03-14,2023-03,4,3,small_1_5
100005,2023-03-14,2023-03,1,1,small_1_5
100006,2023-03-14,2023-03,1,1,small_1_5
100007,2023-03-14,2023-03,2,1,small_1_5
100008,2023-03-14,2023-03,1,1,small_1_5
100009,2023-03-14,2023-03,1,1,small_1_5
100010,2023-03-14,2023-03,2,2,small_1_5
100011,2023-03-14,2023-03,2,1,small_1_5
100012,2023-03-14,2023-03,34,20,large_over_5
100013,2023-03-14,2023-03,1,1,small_1_5
100014,2023-03-14,2023-03,1,1,small_1_5
100015,2023-03-14,2023-03,9,9,large_over_5
100016,2023-03-14,2023-03,1,1,small_1_5
100017,2023-03-14,2023-03,1,1,small_1_5
100018,2023-03-14,2023-03,4,4,small_1_5
100019,2023-03-14,2023-03,6,6,large_over_5
100020,2023-03-14,2023-03,2,2,small_1_5
100021,2023-03-14,2023-03,18,6,large_over_5
100022,2023-03-14,2023-03,3,3,small_1_5
100023,2023-03-14,2023-03,3,1,small_1_5
100024,2023-03-15,2023-03,1,1,small_1_5
100025,2023-03-15,2023-03,1,1,small_1_5
100026,2023-03-15,2023-03,1,1,small_1_5
100027,2023-03-15,2023-03,1,1,small_1_5
100028,2023-03-15,2023-03,2,1,small_1_5
100029,2023-03-15,2023-03,2,1,small_1_5
100030,2023-03-15,2023-03,1,1,small_1_5
100031,2023-03-15,2023-03,2,1,small_1_5
100032,2023-03-15,2023-03,1,1,small_1_5
100033,2023-03-15,2023-03,1,1,small_1_5
100034,2023-03-15,2023-03,3,2,small_1_5
100035,2023-03-15,2023-03,1,1,small_1_5
100036,2023-03-15,2023-03,6,1,large_over_5
100037,2023-03-15,2023-03,1,1,small_1_5
100038,2023-03-15,2023-03,3,1,small_1_5
100039,2023-03-15,2023-03,1,1,small_1_5
