basis,rate,policy,arrivals,peak_backlog,backlog_unit_days,max_backlog_age_days,ending_backlog,extra_paid_hours
retained,30,carryover,228195,4687,413524,5,0,0
retained,30,overtime,228195,4381,126504,4,0,1428
retained,30,temporary,228195,4687,202772,5,0,864
retained,40,carryover,228195,4279,93937,4,0,0
retained,40,overtime,228195,3871,39504,2,0,732
retained,40,temporary,228195,4279,71296,4,0,224
retained,50,carryover,228195,3871,39504,2,0,0
retained,50,overtime,228195,3361,23936,1,0,360
retained,50,temporary,228195,3871,37328,2,0,48
deduplicated_sensitivity,30,carryover,215460,4686,265470,5,0,0
deduplicated_sensitivity,30,overtime,215460,4380,97803,4,0,1272
deduplicated_sensitivity,30,temporary,215460,4686,165008,5,0,608
deduplicated_sensitivity,40,carryover,215460,4278,71957,4,0,0
deduplicated_sensitivity,40,overtime,215460,3870,30205,2,0,612
deduplicated_sensitivity,40,temporary,215460,4278,56754,4,0,144
deduplicated_sensitivity,50,carryover,215460,3870,30205,2,0,0
deduplicated_sensitivity,50,overtime,215460,3360,16826,1,0,312
deduplicated_sensitivity,50,temporary,215460,3870,28029,2,0,48
