basis,rate,policy,date,arrivals,capacity,extra_paid_hours,opening_backlog,completed,closing_backlog,unused_capacity,oldest_backlog_days
retained,30,carryover,2023-01-05,2254,1224,0,0,1224,1030,0,0
retained,30,carryover,2023-01-06,1556,1224,0,1030,1224,1362,0,0
retained,30,carryover,2023-01-07,0,0,0,1362,0,1362,0,1
retained,30,carryover,2023-01-08,0,0,0,1362,0,1362,0,2
retained,30,carryover,2023-01-09,1374,1224,0,1362,1224,1512,0,3
retained,30,carryover,2023-01-10,1551,1224,0,1512,1224,1839,0,1
retained,30,carryover,2023-01-11,807,1224,0,1839,1224,1422,0,1
retained,30,carryover,2023-01-12,1897,1224,0,1422,1224,2095,0,1
retained,30,carryover,2023-01-13,660,1224,0,2095,1224,1531,0,1
retained,30,carryover,2023-01-14,0,0,0,1531,0,1531,0,2
retained,30,carryover,2023-01-15,0,0,0,1531,0,1531,0,3
retained,30,carryover,2023-01-16,885,1224,0,1531,1224,1192,0,3
retained,30,carryover,2023-01-17,997,1224,0,1192,1224,965,0,0
retained,30,carryover,2023-01-18,1909,1224,0,965,1224,1650,0,0
retained,30,carryover,2023-01-19,250,1224,0,1650,1224,676,0,1
retained,30,carryover,2023-01-20,321,1224,0,676,997,0,227,0
retained,30,carryover,2023-01-21,0,0,0,0,0,0,0,0
retained,30,carryover,2023-01-22,0,0,0,0,0,0,0,0
retained,30,carryover,2023-01-23,856,1224,0,0,856,0,368,0
retained,30,carryover,2023-01-24,563,1224,0,0,563,0,661,0
retained,30,carryover,2023-01-25,2819,1224,0,0,1224,1595,0,0
retained,30,carryover,2023-01-26,871,1224,0,1595,1224,1242,0,1
retained,30,carryover,2023-01-27,731,1224,0,1242,1224,749,0,1
retained,30,carryover,2023-01-28,0,0,0,749,0,749,0,2
retained,30,carryover,2023-01-29,0,0,0,749,0,749,0,3
retained,30,carryover,2023-01-30,1083,1224,0,749,1224,608,0,0
retained,30,carryover,2023-01-31,1023,1224,0,608,1224,407,0,0
retained,30,carryover,2023-02-01,278,1224,0,407,685,0,539,0
retained,30,carryover,2023-02-02,1293,1224,0,0,1224,69,0,0
retained,30,carryover,2023-02-03,662,1224,0,69,731,0,493,0
retained,30,carryover,2023-02-04,0,0,0,0,0,0,0,0
retained,30,carryover,2023-02-05,0,0,0,0,0,0,0,0
retained,30,carryover,2023-02-06,1526,1224,0,0,1224,302,0,0
retained,30,carryover,2023-02-07,854,1224,0,302,1156,0,68,0
retained,30,carryover,2023-02-08,975,1224,0,0,975,0,249,0
retained,30,carryover,2023-02-09,1707,1224,0,0,1224,483,0,0
retained,30,carryover,2023-02-10,462,1224,0,483,945,0,279,0
retained,30,carryover,2023-02-11,0,0,0,0,0,0,0,0
retained,30,carryover,2023-02-12,0,0,0,0,0,0,0,0
retained,30,carryover,2023-02-13,1306,1224,0,0,1224,82,0,0
retained,30,carryover,2023-02-14,638,1224,0,82,720,0,504,0
retained,30,carryover,2023-02-15,384,1224,0,0,384,0,840,0
retained,30,carryover,2023-02-16,2383,1224,0,0,1224,1159,0,0
retained,30,carryover,2023-02-17,0,1224,0,1159,1159,0,65,0
retained,30,carryover,2023-02-18,0,0,0,0,0,0,0,0
retained,30,carryover,2023-02-19,1920,0,0,0,0,1920,0,0
retained,30,carryover,2023-02-20,0,1224,0,1920,1224,696,0,1
retained,30,carryover,2023-02-21,1943,1224,0,696,1224,1415,0,0
retained,30,carryover,2023-02-22,1414,1224,0,1415,1224,1605,0,1
retained,30,carryover,2023-02-23,1907,1224,0,1605,1224,2288,0,1
retained,30,carryover,2023-02-24,1163,1224,0,2288,1224,2227,0,1
retained,30,carryover,2023-02-25,0,0,0,2227,0,2227,0,2
retained,30,carryover,2023-02-26,0,0,0,2227,0,2227,0,3
retained,30,carryover,2023-02-27,1496,1224,0,2227,1224,2499,0,3
retained,30,carryover,2023-02-28,1134,1224,0,2499,1224,2409,0,1
retained,30,carryover,2023-03-01,227,1224,0,2409,1224,1412,0,2
retained,30,carryover,2023-03-02,2495,1224,0,1412,1224,2683,0,1
retained,30,carryover,2023-03-03,709,1224,0,2683,1224,2168,0,1
retained,30,carryover,2023-03-04,0,0,0,2168,0,2168,0,2
retained,30,carryover,2023-03-05,0,0,0,2168,0,2168,0,3
retained,30,carryover,2023-03-06,1586,1224,0,2168,1224,2530,0,4
retained,30,carryover,2023-03-07,479,1224,0,2530,1224,1785,0,1
retained,30,carryover,2023-03-08,1729,1224,0,1785,1224,2290,0,2
retained,30,carryover,2023-03-09,1078,1224,0,2290,1224,2144,0,1
retained,30,carryover,2023-03-10,382,1224,0,2144,1224,1302,0,1
retained,30,carryover,2023-03-11,0,0,0,1302,0,1302,0,2
retained,30,carryover,2023-03-12,437,0,0,1302,0,1739,0,3
retained,30,carryover,2023-03-13,0,1224,0,1739,1224,515,0,3
retained,30,carryover,2023-03-14,1656,1224,0,515,1224,947,0,0
retained,30,carryover,2023-03-15,384,1224,0,947,1224,107,0,0
retained,30,carryover,2023-03-16,1518,1224,0,107,1224,401,0,0
retained,30,carryover,2023-03-17,2400,1224,0,401,1224,1577,0,0
retained,30,carryover,2023-03-18,0,0,0,1577,0,1577,0,1
retained,30,carryover,2023-03-19,0,0,0,1577,0,1577,0,2
retained,30,carryover,2023-03-20,0,1224,0,1577,1224,353,0,3
retained,30,carryover,2023-03-21,0,1224,0,353,353,0,871,0
retained,30,carryover,2023-03-22,5911,1224,0,0,1224,4687,0,0
retained,30,carryover,2023-03-23,0,1224,0,4687,1224,3463,0,1
retained,30,carryover,2023-03-24,0,1224,0,3463,1224,2239,0,2
retained,30,carryover,2023-03-25,0,0,0,2239,0,2239,0,3
retained,30,carryover,2023-03-26,0,0,0,2239,0,2239,0,4
retained,30,carryover,2023-03-27,1277,1224,0,2239,1224,2292,0,5
retained,30,carryover,2023-03-28,102,1224,0,2292,1224,1170,0,1
retained,30,carryover,2023-03-29,3482,1224,0,1170,1224,3428,0,0
retained,30,carryover,2023-03-30,0,1224,0,3428,1224,2204,0,1
retained,30,carryover,2023-03-31,0,1224,0,2204,1224,980,0,2
retained,30,carryover,2023-04-01,0,0,0,980,0,980,0,3
retained,30,carryover,2023-04-02,0,0,0,980,0,980,0,4
retained,30,carryover,2023-04-03,3072,1224,0,980,1224,2828,0,0
retained,30,carryover,2023-04-04,1432,1224,0,2828,1224,3036,0,1
retained,30,carryover,2023-04-05,808,1224,0,3036,1224,2620,0,2
retained,30,carryover,2023-04-06,909,1224,0,2620,1224,2305,0,2
retained,30,carryover,2023-04-07,0,1224,0,2305,1224,1081,0,2
retained,30,carryover,2023-04-08,0,0,0,1081,0,1081,0,3
retained,30,carryover,2023-04-09,0,0,0,1081,0,1081,0,4
retained,30,carryover,2023-04-10,0,1224,0,1081,1081,0,143,0
retained,30,carryover,2023-04-11,1284,1224,0,0,1224,60,0,0
retained,30,carryover,2023-04-12,0,1224,0,60,60,0,1164,0
retained,30,carryover,2023-04-13,3489,1224,0,0,1224,2265,0,0
