rank,reference,size,order_units,deduplicated_order_units,pick_file_units,reference_months_in_top10,distinct_pick_locations,unknown_location_units,locations,action
1,8N10W9,11,2951,2950,2951,10,6,1,H-10-11:1391;H-10-21:1288;M-04-21:208;M-04-11:52;N-17-22:11;RC-01:1,Review access and replenishment; no measured travel-time savings
2,8N10W9,10,2931,2931,2931,10,11,45,H-08-22:1350;H-08-12:1240;M-02-22:133;M-02-12:113;RC-01:39;M-01-11:18;N-17-22:12;M-02-13:8;M-01-21:6;L-02-21:6;C-026:6,Review access and replenishment; no measured travel-time savings
3,PY5UPB,260,2340,535,2338,5,12,2160,RC-01:2127;N-01-12:48;N-01-22:48;N-01-23:47;C-102:31;M-01-12:11;N-02-22:8;Q-17-22:7;J-02-21:4;N-01-11:3;C-061:2;I-01-11:2,Review access and replenishment; no measured travel-time savings
4,PY5UPB,265,2275,540,2270,5,8,2139,RC-01:2139;M-02-11:48;J-02-11:40;J-01-13:23;J-02-21:9;Q-17-23:4;I-01-11:4;Q-19-21:3,Review access and replenishment; no measured travel-time savings
5,8N10W9,12,2214,2213,2214,10,13,34,H-10-22:1940;M-04-22:99;M-04-12:88;H-10-13:28;RC-01:25;RC-05:8;H-10-23:6;M-01-11:6;L-13-11:6;L-01-11:4;H-10-12:2;RC-04:1;M-10-23:1,Review access and replenishment; no measured travel-time savings
6,8N10W9,105,2190,2190,0,10,0,0,,Review access and replenishment; no measured travel-time savings
7,8N10W9,9,1965,1965,1965,10,10,7,H-06-13:932;H-06-23:853;M-03-23:97;M-03-13:48;M-02-22:12;RC-01:6;O-05-23:6;J-08-12:6;M-03-12:4;RC-04:1,Review access and replenishment; no measured travel-time savings
8,8N10W9,95,1832,1832,0,10,0,0,,Review access and replenishment; no measured travel-time savings
9,I1KDJ0,10,1608,1608,1608,10,11,8,I-08-22:650;I-08-12:641;M-10-11:148;I-04-11:69;N-17-12:36;N-17-23:28;I-04-21:18;RC-01:8;N-17-13:6;N-17-21:3;O-13-11:1,Review access and replenishment; no measured travel-time savings
10,PY5UPB,270,1580,405,1580,5,8,1532,RC-01:1532;N-01-11:17;N-01-21:15;N-02-21:7;L-02-22:6;L-01-21:1;N-02-11:1;M-02-21:1,Review access and replenishment; no measured travel-time savings
11,I1KDJ0,11,1546,1546,1419,10,6,43,I-10-11:625;I-10-21:569;M-10-12:138;I-04-21:43;RC-01:43;J-02-22:1,Review access and replenishment; no measured travel-time savings
12,I1KDJ0,9,1430,1430,1430,10,9,14,I-06-13:613;I-06-23:585;M-09-13:93;M-09-23:63;I-04-11:35;N-19-11:18;RC-01:14;N-02-11:6;I-04-21:3,Review access and replenishment; no measured travel-time savings
