reason,code,description,rows
nonstandard_code_review,POST,POSTAGE,1851
nonstandard_code_review,DOT,DOTCOM POSTAGE,1420
nonstandard_code_review,M,Manual,863
nonstandard_code_review,C2,CARRIAGE,267
nonstandard_code_review,BANK CHARGES,Bank Charges,32
nonstandard_code_review,DCGS0058,MISO PRETTY  GUM,30
nonstandard_code_review,gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,26
nonstandard_code_review,gift_0001_30,Dotcomgiftshop Gift Voucher £30.00,24
nonstandard_code_review,DCGSSGIRL,GIRLS PARTY BAG,23
nonstandard_code_review,DCGSSBOY,BOYS PARTY BAG,21
nonstandard_code_review,ADJUST,Adjustment by john on 26/01/2010 16,20
nonstandard_code_review,PADS,PADS TO MATCH ALL CUSHIONS,18
nonstandard_code_review,ADJUST,Adjustment by john on 26/01/2010 17,16
nonstandard_code_review,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,14
nonstandard_code_review,gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,14
nonstandard_code_review,DCGS0003,BOXED GLASS ASHTRAY,13
nonstandard_code_review,TEST001,This is a test product.,11
missing_description_review,79321,None,9
missing_description_review,84990,None,9
missing_description_review,35965,None,9
missing_description_review,22950,None,8
missing_description_review,23084,None,8
missing_description_review,22139,None,7
nonstandard_code_review,POST,None,7
missing_description_review,84795D,None,7
missing_description_review,22084,None,7
nonstandard_code_review,gift_0001_50,Dotcomgiftshop Gift Voucher £50.00,6
missing_description_review,71477,None,6
missing_description_review,20747,None,6
nonstandard_code_review,B,Adjust bad debt,6
missing_description_review,22087,None,6
missing_description_review,22689,None,6
missing_description_review,35400,None,6
missing_description_review,21478,None,5
missing_description_review,90002A,None,5
missing_description_review,72803B,None,5
nonstandard_code_review,gift_0001_30,None,5
nonstandard_code_review,m,Manual,5
missing_description_review,90084,None,5
missing_description_review,35970,None,5
nonstandard_code_review,DCGS0069,OOH LA LA DOGS COLLAR,5
missing_description_review,22528,None,5
nonstandard_code_review,D,Discount,5
missing_description_review,84247E,None,5
missing_description_review,84510B,None,5
missing_description_review,84977,None,5
nonstandard_code_review,gift_0001_40,Dotcomgiftshop Gift Voucher £40.00,5
missing_description_review,23348,None,5
nonstandard_code_review,DCGS0004,HAYNES CAMPER SHOULDER BAG,4
missing_description_review,37446,None,4
missing_description_review,84922,None,4
missing_description_review,84921,None,4
missing_description_review,21915,None,4
missing_description_review,37509,None,4
missing_description_review,21340,None,4
missing_description_review,84030B,None,4
missing_description_review,21984,None,4
missing_description_review,20731,None,4
missing_description_review,84467,None,4
missing_description_review,37461,None,4
missing_description_review,21357,None,4
missing_description_review,22467,None,4
missing_description_review,47591C,None,4
missing_description_review,22621,None,4
missing_description_review,21690,None,4
missing_description_review,22171,None,4
missing_description_review,22302,None,4
missing_description_review,20713,None,4
missing_description_review,85065,None,4
missing_description_review,20734,None,4
missing_description_review,22469,None,4
missing_description_review,22734,None,4
missing_description_review,22501,None,4
missing_description_review,22866,None,4
missing_description_review,22451,None,4
missing_description_review,22502,None,4
missing_description_review,21067,None,4
missing_description_review,84292,None,3
missing_description_review,21166,None,3
missing_description_review,84347,None,3
nonstandard_code_review,DCGS0072,CAT CAMOUFLAGUE COLLAR,3
nonstandard_code_review,C2,None,3
missing_description_review,47503F,None,3
missing_description_review,72045D,None,3
missing_description_review,72756,None,3
missing_description_review,22144,None,3
missing_description_review,84029D,None,3
missing_description_review,21169,None,3
missing_description_review,84803B,None,3
missing_description_review,85018C,None,3
missing_description_review,20973,None,3
missing_description_review,90091,None,3
missing_description_review,21477,None,3
missing_description_review,72796A,None,3
missing_description_review,84227,None,3
missing_description_review,16207A,None,3
missing_description_review,20804,None,3
missing_description_review,84845C,None,3
missing_description_review,77079,None,3
missing_description_review,21095,None,3
missing_description_review,84219,None,3
missing_description_review,22125,None,3
missing_description_review,84746,None,3
missing_description_review,22719,None,3
missing_description_review,22429,None,3
nonstandard_code_review,S,SAMPLES,3
missing_description_review,84670,None,3
missing_description_review,21145,None,3
missing_description_review,21928,None,3
missing_description_review,35240,None,3
missing_description_review,37441,None,3
missing_description_review,84497,None,3
missing_description_review,90104,None,3
missing_description_review,37479B,None,3
missing_description_review,84873A,None,3
missing_description_review,21736,None,3
nonstandard_code_review,ADJUST2,Adjustment by Peter on Jun 25 2010 ,3
missing_description_review,21768,None,3
missing_description_review,22655,None,3
missing_description_review,21924,None,3
missing_description_review,22607,None,3
missing_description_review,82597,None,3
missing_description_review,22143,None,3
missing_description_review,22910,None,3
missing_description_review,51008,None,3
missing_description_review,17165D,None,3
missing_description_review,84247C,None,3
missing_description_review,21268,None,3
missing_description_review,85214,None,3
nonstandard_code_review,AMAZONFEE,AMAZON FEE,3
missing_description_review,22145,None,3
missing_description_review,85232B,None,3
missing_description_review,21614,None,3
missing_description_review,21661,None,3
missing_description_review,22444,None,3
missing_description_review,21445,None,3
missing_description_review,35914,None,3
missing_description_review,37444A,None,3
missing_description_review,79164,None,3
missing_description_review,21784,None,3
missing_description_review,82583,None,3
missing_description_review,84944,None,3
missing_description_review,21868,None,3
missing_description_review,21033,None,3
missing_description_review,23284,None,3
missing_description_review,22062,None,3
missing_description_review,22570,None,3
missing_description_review,23268,None,3
missing_description_review,22812,None,3
nonstandard_code_review,DCGS0068,DOGS NIGHT COLLAR,2
missing_description_review,21350,None,2
missing_description_review,72008,None,2
nonstandard_code_review,BANK CHARGES, Bank Charges,2
missing_description_review,85185F,None,2
missing_description_review,20879,None,2
missing_description_review,35980C,None,2
missing_description_review,22174,None,2
nonstandard_code_review,gift_0001_80,None,2
missing_description_review,16161C,None,2
missing_description_review,84249D,None,2
missing_description_review,17164B,None,2
missing_description_review,84247H,None,2
missing_description_review,84199,None,2
missing_description_review,37485,None,2
missing_description_review,20736,None,2
missing_description_review,22197,None,2
missing_description_review,20668,None,2
missing_description_review,20952,None,2
missing_description_review,21560,None,2
missing_description_review,35603B,None,2
missing_description_review,79163,None,2
missing_description_review,84251C,None,2
missing_description_review,20621,None,2
missing_description_review,22141,None,2
missing_description_review,44091C,None,2
missing_description_review,20887,None,2
missing_description_review,46307,None,2
missing_description_review,84247N,None,2
missing_description_review,37451,None,2
missing_description_review,21767,None,2
missing_description_review,84255A,None,2
missing_description_review,37468,None,2
nonstandard_code_review,DCGS0066N,NAVY CUDDLES DOG HOODIE,2
nonstandard_code_review,DCGS0066N,None,2
missing_description_review,84972L,None,2
missing_description_review,72785A,None,2
missing_description_review,84945,None,2
missing_description_review,84757,None,2
missing_description_review,37492C,None,2
missing_description_review,90121B,None,2
missing_description_review,21479,None,2
missing_description_review,84855,None,2
missing_description_review,85232C,None,2
missing_description_review,90082C,None,2
missing_description_review,17129D,None,2
missing_description_review,84925D,None,2
missing_description_review,20913,None,2
missing_description_review,84795E,None,2
missing_description_review,46000P,None,2
missing_description_review,72789,None,2
missing_description_review,21914,None,2
missing_description_review,18097B,None,2
missing_description_review,84288B,None,2
missing_description_review,21551,None,2
missing_description_review,85023A,None,2
missing_description_review,84292B,None,2
missing_description_review,22657,None,2
nonstandard_code_review,gift_0001_50,None,2
nonstandard_code_review,gift_0001_40,None,2
nonstandard_code_review,gift_0001_60,None,2
nonstandard_code_review,gift_0001_70,None,2
missing_description_review,22016,None,2
nonstandard_code_review,gift_0001_90,None,2
missing_description_review,84925A,None,2
missing_description_review,21967,None,2
missing_description_review,21098,None,2
missing_description_review,22058,None,2
missing_description_review,72799A,None,2
missing_description_review,20899,None,2
missing_description_review,35001B,None,2
missing_description_review,20672,None,2
missing_description_review,16207B,None,2
missing_description_review,21387,None,2
missing_description_review,20849,None,2
missing_description_review,20774,None,2
missing_description_review,90111,None,2
missing_description_review,21623,None,2
missing_description_review,72750C,None,2
missing_description_review,82613A,None,2
missing_description_review,37502,None,2
missing_description_review,84427B,None,2
missing_description_review,20989,None,2
missing_description_review,21255,None,2
