source_date,assumed_units_per_job,modeled_orders,modeled_units,estimated_jobs,productive_packing_hours
2011-10-14,12,360,90965.0,7725,250.32583333333332
2011-10-15,12,0,0,0,0.0
2011-10-16,12,175,43845.0,3735,120.8725
2011-10-17,12,435,156885.0,13265,430.6458333333333
2011-10-18,12,425,146535.0,12400,402.4241666666667
2011-10-19,12,415,96150.0,8195,265.1483333333333
2011-10-20,12,435,204520.0,17210,559.86
2011-10-21,12,320,123900.0,10440,339.43
2011-10-22,12,0,0,0,0.0
2011-10-23,12,205,35355.0,3045,98.0875
2011-10-24,12,395,128295.0,10865,352.49083333333334
2011-10-25,12,385,132925.0,11250,365.07916666666665
2011-10-26,12,470,106590.0,9085,293.94166666666666
2011-10-27,12,520,169390.0,14335,465.2083333333333
2011-10-28,12,390,120215.0,10190,330.46416666666664
2011-10-29,12,0,0,0,0.0
2011-10-30,12,480,100105.0,8570,276.7625
2011-10-31,12,350,107960.0,9160,296.94
2011-11-01,12,405,84145.0,7160,231.8225
2011-11-02,12,425,142805.0,12075,392.0058333333333
2011-11-03,12,510,168800.0,14295,463.7733333333333
2011-11-04,12,465,176615.0,14935,484.8375
2011-11-05,12,0,0,0,0.0
2011-11-06,12,510,116375.0,9905,320.6641666666667
2011-11-07,12,460,156835.0,13275,430.77416666666664
2011-11-08,12,535,132035.0,11240,363.8541666666667
2011-11-09,12,595,185285.0,15685,508.9525
2011-11-10,12,635,191075.0,16185,525.0408333333334
2011-11-11,12,510,145100.0,12305,398.9766666666667
2011-11-12,12,0,0,0,0.0
2011-11-13,12,435,104190.0,8870,287.12833333333333
2011-11-14,12,530,236635.0,19980,649.0341666666667
2011-11-15,12,535,151795.0,12865,417.24083333333334
2011-11-16,12,655,165430.0,14065,455.54833333333335
2011-11-17,12,690,159210.0,13545,438.585
2011-11-18,12,540,119785.0,10200,330.14916666666664
2011-11-19,12,0,0,0,0.0
2011-11-20,12,500,97025.0,8330,268.68916666666667
2011-11-21,12,510,128945.0,10980,355.3958333333333
2011-11-22,12,680,170740.0,14515,470.1433333333333
2011-11-23,12,650,197025.0,16680,541.2225
2011-11-24,12,560,132380.0,11255,364.5366666666667
2011-11-25,12,425,157560.0,13320,432.46
2011-11-26,12,0,0,0,0.0
2011-11-27,12,290,55760.0,4775,154.18666666666667
2011-11-28,12,570,147215.0,12540,405.8308333333333
2011-11-29,12,680,154390.0,13140,425.40166666666664
2011-11-30,12,535,141780.0,12055,390.43666666666667
2011-12-01,12,605,135130.0,11520,372.69166666666666
2011-12-02,12,605,143955.0,12285,397.2675
2011-12-03,12,0,0,0,0.0
2011-12-04,12,340,61995.0,5310,171.4475
2011-12-05,12,640,218800.0,18505,600.6933333333334
2011-12-06,12,570,152185.0,12905,418.4425
2011-12-07,12,525,209285.0,17650,573.6325
2011-12-08,12,605,178025.0,15105,489.6558333333333
2011-10-14,24,360,90965.0,3960,180.04583333333332
2011-10-15,24,0,0,0,0.0
2011-10-16,24,175,43845.0,1905,86.7125
2011-10-17,24,435,156885.0,6755,309.12583333333333
2011-10-18,24,425,146535.0,6315,288.8375
2011-10-19,24,415,96150.0,4200,190.575
2011-10-20,24,435,204520.0,8705,401.1
2011-10-21,24,320,123900.0,5320,243.85666666666665
2011-10-22,24,0,0,0,0.0
2011-10-23,24,205,35355.0,1585,70.83416666666666
2011-10-24,24,395,128295.0,5535,252.9975
2011-10-25,24,385,132925.0,5725,261.9458333333333
2011-10-26,24,470,106590.0,4640,210.96833333333333
2011-10-27,24,520,169390.0,7295,333.795
2011-10-28,24,390,120215.0,5190,237.13083333333333
2011-10-29,24,0,0,0,0.0
2011-10-30,24,480,100105.0,4395,198.82916666666668
2011-10-31,24,350,107960.0,4675,213.22
2011-11-01,24,405,84145.0,3680,166.8625
2011-11-02,24,425,142805.0,6125,280.93916666666667
2011-11-03,24,510,168800.0,7270,332.64
2011-11-04,24,465,176615.0,7575,347.4508333333333
2011-11-05,24,0,0,0,0.0
2011-11-06,24,510,116375.0,5060,230.22416666666666
2011-11-07,24,460,156835.0,6735,308.69416666666666
2011-11-08,24,535,132035.0,5755,261.4675
2011-11-09,24,595,185285.0,7990,365.3125
2011-11-10,24,635,191075.0,8255,377.01416666666665
2011-11-11,24,510,145100.0,6275,286.4166666666667
2011-11-12,24,0,0,0,0.0
2011-11-13,24,435,104190.0,4535,206.20833333333334
2011-11-14,24,530,236635.0,10145,465.4475
2011-11-15,24,535,151795.0,6595,300.2008333333333
2011-11-16,24,655,165430.0,7205,327.495
2011-11-17,24,690,159210.0,6940,315.2916666666667
2011-11-18,24,540,119785.0,5240,237.5625
2011-11-19,24,0,0,0,0.0
2011-11-20,24,500,97025.0,4290,193.27583333333334
2011-11-21,24,510,128945.0,5635,255.6225
2011-11-22,24,680,170740.0,7435,337.98333333333335
2011-11-23,24,650,197025.0,8530,389.08916666666664
2011-11-24,24,560,132380.0,5790,262.5233333333333
2011-11-25,24,425,157560.0,6765,310.1
2011-11-26,24,0,0,0,0.0
2011-11-27,24,290,55760.0,2455,110.88
2011-11-28,24,570,147215.0,6415,291.4975
2011-11-29,24,680,154390.0,6725,305.655
2011-11-30,24,535,141780.0,6165,280.49
2011-12-01,24,605,135130.0,5900,267.785
2011-12-02,24,605,143955.0,6305,285.6408333333333
2011-12-03,24,0,0,0,0.0
2011-12-04,24,340,61995.0,2725,123.19416666666666
2011-12-05,24,640,218800.0,9435,431.38666666666666
2011-12-06,24,570,152185.0,6590,300.5625
2011-12-07,24,525,209285.0,8965,411.5125
2011-12-08,24,605,178025.0,7690,351.2425
2011-10-14,48,360,90965.0,2080,144.9525
2011-10-15,48,0,0,0,0.0
2011-10-16,48,175,43845.0,1005,69.9125
2011-10-17,48,435,156885.0,3485,248.08583333333334
2011-10-18,48,425,146535.0,3275,232.09083333333334
2011-10-19,48,415,96150.0,2230,153.80166666666668
2011-10-20,48,435,204520.0,4455,321.76666666666665
2011-10-21,48,320,123900.0,2750,195.88333333333333
2011-10-22,48,0,0,0,0.0
2011-10-23,48,205,35355.0,855,57.2075
2011-10-24,48,395,128295.0,2860,203.06416666666667
2011-10-25,48,385,132925.0,2950,210.14583333333334
2011-10-26,48,470,106590.0,2465,170.36833333333334
2011-10-27,48,520,169390.0,3790,268.36833333333334
2011-10-28,48,390,120215.0,2715,190.93083333333334
2011-10-29,48,0,0,0,0.0
2011-10-30,48,480,100105.0,2315,160.0025
2011-10-31,48,350,107960.0,2425,171.22
2011-11-01,48,405,84145.0,1950,134.56916666666666
2011-11-02,48,425,142805.0,3180,225.96583333333334
2011-11-03,48,510,168800.0,3755,267.02666666666664
2011-11-04,48,465,176615.0,3915,279.1308333333333
2011-11-05,48,0,0,0,0.0
2011-11-06,48,510,116375.0,2675,185.70416666666668
2011-11-07,48,460,156835.0,3480,247.93416666666667
2011-11-08,48,535,132035.0,3030,210.60083333333333
2011-11-09,48,595,185285.0,4155,293.72583333333336
2011-11-10,48,635,191075.0,4295,303.0941666666667
2011-11-11,48,510,145100.0,3270,230.32333333333332
2011-11-12,48,0,0,0,0.0
2011-11-13,48,435,104190.0,2390,166.16833333333332
2011-11-14,48,530,236635.0,5230,373.7008333333333
2011-11-15,48,535,151795.0,3435,241.21416666666667
2011-11-16,48,655,165430.0,3785,263.655
2011-11-17,48,690,159210.0,3635,253.59833333333333
2011-11-18,48,540,119785.0,2770,191.45583333333335
2011-11-19,48,0,0,0,0.0
2011-11-20,48,500,97025.0,2265,155.47583333333333
2011-11-21,48,510,128945.0,2965,205.7825
2011-11-22,48,680,170740.0,3880,271.62333333333333
2011-11-23,48,650,197025.0,4460,313.11583333333334
2011-11-24,48,560,132380.0,3055,211.47
2011-11-25,48,425,157560.0,3495,249.06
2011-11-26,48,0,0,0,0.0
2011-11-27,48,290,55760.0,1305,89.41333333333333
2011-11-28,48,570,147215.0,3365,234.56416666666667
2011-11-29,48,680,154390.0,3550,246.38833333333332
2011-11-30,48,535,141780.0,3210,225.33
2011-12-01,48,605,135130.0,3115,215.79833333333335
2011-12-02,48,605,143955.0,3325,230.01416666666665
2011-12-03,48,0,0,0,0.0
2011-12-04,48,340,61995.0,1450,99.39416666666666
2011-12-05,48,640,218800.0,4855,345.8933333333333
2011-12-06,48,570,152185.0,3435,241.66916666666665
2011-12-07,48,525,209285.0,4610,330.2191666666667
2011-12-08,48,605,178025.0,3990,282.17583333333334
