geography_name,state_fips,county_fips,quarter,naics_code,beginning_employment,end_employment,separations,hires,stable_employment
"Cook County, Illinois",17,031,2021-Q1,493,5261,12591,4517,11848,4753
"Cook County, Illinois",17,031,2021-Q2,493,12609,11887,3520,2798,9958
"Cook County, Illinois",17,031,2021-Q3,493,11927,11804,3968,3845,9501
"Cook County, Illinois",17,031,2021-Q4,493,11827,14239,4033,6445,9894
"Cook County, Illinois",17,031,2022-Q1,493,21404,21733,5607,5935,17585
"Cook County, Illinois",17,031,2022-Q2,493,21618,20088,5615,4085,17527
"Cook County, Illinois",17,031,2022-Q3,493,20069,19550,6123,5604,15915
"Cook County, Illinois",17,031,2022-Q4,493,19541,20188,5336,5983,16440
"Cook County, Illinois",17,031,2023-Q1,493,20219,19842,4411,4035,16998
"Cook County, Illinois",17,031,2023-Q2,493,19870,20264,4390,4783,16895
"Cook County, Illinois",17,031,2023-Q3,493,20257,19876,4518,4136,16986
"Cook County, Illinois",17,031,2023-Q4,493,19980,22127,4730,6877,17278
"Cook County, Illinois",17,031,2024-Q1,493,22053,20701,4505,3152,18450
"Cook County, Illinois",17,031,2024-Q2,493,20765,21226,3534,3994,18222
"Cook County, Illinois",17,031,2024-Q3,493,20528,20412,3766,3651,17840
"Cook County, Illinois",17,031,2024-Q4,493,20360,22028,4206,5873,17827
"DuPage County, Illinois",17,043,2021-Q1,493,2261,3059,599,1398,2055
"DuPage County, Illinois",17,043,2021-Q2,493,3061,3047,574,559,2621
"DuPage County, Illinois",17,043,2021-Q3,493,3034,3115,647,729,2616
"DuPage County, Illinois",17,043,2021-Q4,493,3116,3456,768,1109,2656
"DuPage County, Illinois",17,043,2022-Q1,493,7771,7549,1702,1479,6465
"DuPage County, Illinois",17,043,2022-Q2,493,7560,7237,1437,1115,6428
"DuPage County, Illinois",17,043,2022-Q3,493,7237,7240,1738,1742,6053
"DuPage County, Illinois",17,043,2022-Q4,493,7243,7700,1797,2254,6265
"DuPage County, Illinois",17,043,2023-Q1,493,7617,7309,1549,1240,6426
"DuPage County, Illinois",17,043,2023-Q2,493,7284,7595,1409,1720,6318
"DuPage County, Illinois",17,043,2023-Q3,493,7642,7587,1614,1559,6451
"DuPage County, Illinois",17,043,2023-Q4,493,7553,8452,1723,2622,6594
"DuPage County, Illinois",17,043,2024-Q1,493,8388,7872,1556,1041,7066
"DuPage County, Illinois",17,043,2024-Q2,493,7887,8188,1189,1490,6982
"DuPage County, Illinois",17,043,2024-Q3,493,8177,8047,1526,1396,7044
"DuPage County, Illinois",17,043,2024-Q4,493,8031,8735,1508,2211,7142
"Will County, Illinois",17,197,2021-Q1,493,10041,26435,8071,24464,8562
"Will County, Illinois",17,197,2021-Q2,493,26436,26876,6720,7159,21702
"Will County, Illinois",17,197,2021-Q3,493,26414,28498,8575,10659,21509
"Will County, Illinois",17,197,2021-Q4,493,28465,35293,9415,16243,23634
"Will County, Illinois",17,197,2022-Q1,493,24666,24383,5681,5397,20520
"Will County, Illinois",17,197,2022-Q2,493,24418,23594,5351,4527,20429
"Will County, Illinois",17,197,2022-Q3,493,23585,23848,6484,6747,19422
"Will County, Illinois",17,197,2022-Q4,493,23858,24648,6297,7086,20090
"Will County, Illinois",17,197,2023-Q1,493,24688,24845,5291,5448,20935
"Will County, Illinois",17,197,2023-Q2,493,24859,25663,5389,6193,21174
"Will County, Illinois",17,197,2023-Q3,493,25672,25529,5775,5632,21446
"Will County, Illinois",17,197,2023-Q4,493,25530,27419,6214,8102,21759
"Will County, Illinois",17,197,2024-Q1,493,27489,25959,5371,3841,23114
"Will County, Illinois",17,197,2024-Q2,493,25996,26727,4411,5142,22692
"Will County, Illinois",17,197,2024-Q3,493,27353,27178,5262,5086,23581
"Will County, Illinois",17,197,2024-Q4,493,27125,29016,5382,7273,23809
"Kenosha County, Wisconsin",55,059,2021-Q1,493,9750,8688,3072,2010,7443
"Kenosha County, Wisconsin",55,059,2021-Q2,493,8626,8000,2848,2221,6532
"Kenosha County, Wisconsin",55,059,2021-Q3,493,7936,8512,3129,3704,6213
"Kenosha County, Wisconsin",55,059,2021-Q4,493,8516,9682,3526,4693,6701
"Kenosha County, Wisconsin",55,059,2022-Q1,493,9791,9925,2704,2838,7930
"Kenosha County, Wisconsin",55,059,2022-Q2,493,9924,9313,2694,2083,7920
"Kenosha County, Wisconsin",55,059,2022-Q3,493,9313,9647,2612,2947,7676
"Kenosha County, Wisconsin",55,059,2022-Q4,493,9642,9995,2817,3170,8010
"Kenosha County, Wisconsin",55,059,2023-Q1,493,9998,8753,2793,1548,7876
"Kenosha County, Wisconsin",55,059,2023-Q2,493,8757,8705,1793,1740,7541
"Kenosha County, Wisconsin",55,059,2023-Q3,493,8708,8896,1909,2097,7527
"Kenosha County, Wisconsin",55,059,2023-Q4,493,8894,10062,2433,3602,7738
"Kenosha County, Wisconsin",55,059,2024-Q1,493,10074,8819,1937,681,8336
"Kenosha County, Wisconsin",55,059,2024-Q2,493,8818,8763,1261,1206,7861
"Kenosha County, Wisconsin",55,059,2024-Q3,493,8763,9008,1633,1878,7799
"Kenosha County, Wisconsin",55,059,2024-Q4,493,9008,9999,1940,2930,7996
