source_date,lines,units,orders
2009-12-01,1,1,5
2009-12-01,1,2,2
2009-12-01,1,5,1
2009-12-01,1,12,1
2009-12-01,1,25,1
2009-12-01,1,48,1
2009-12-01,1,800,1
2009-12-01,2,2,1
2009-12-01,2,16,1
2009-12-01,2,264,1
2009-12-01,3,3,1
2009-12-01,3,32,1
2009-12-01,4,34,1
2009-12-01,4,60,1
2009-12-01,4,67,1
2009-12-01,4,102,1
2009-12-01,4,154,1
2009-12-01,4,192,1
2009-12-01,5,10,1
2009-12-01,5,188,1
2009-12-01,6,98,1
2009-12-01,7,90,1
2009-12-01,7,120,1
2009-12-01,8,26,1
2009-12-01,8,35,1
2009-12-01,8,166,1
2009-12-01,8,198,1
2009-12-01,8,276,1
2009-12-01,9,100,1
2009-12-01,9,125,1
2009-12-01,10,64,1
2009-12-01,10,118,1
2009-12-01,10,137,1
2009-12-01,10,221,1
2009-12-01,11,57,1
2009-12-01,13,26,1
2009-12-01,13,38,1
2009-12-01,14,54,1
2009-12-01,14,226,1
2009-12-01,14,326,1
2009-12-01,15,203,1
2009-12-01,15,977,1
2009-12-01,16,42,1
2009-12-01,17,146,1
2009-12-01,17,178,1
2009-12-01,17,826,1
2009-12-01,17,1598,1
2009-12-01,18,216,1
2009-12-01,18,312,1
2009-12-01,19,193,1
2009-12-01,19,280,1
2009-12-01,19,408,1
2009-12-01,20,28,1
2009-12-01,20,150,1
2009-12-01,20,157,1
2009-12-01,20,353,1
2009-12-01,20,438,1
2009-12-01,21,46,1
2009-12-01,21,173,1
2009-12-01,21,249,1
2009-12-01,22,49,1
2009-12-01,22,67,1
2009-12-01,22,300,1
2009-12-01,22,401,1
2009-12-01,22,595,1
2009-12-01,23,145,1
2009-12-01,23,232,1
2009-12-01,23,275,1
2009-12-01,24,39,1
2009-12-01,25,35,1
2009-12-01,25,41,1
2009-12-01,25,129,1
2009-12-01,26,317,1
2009-12-01,26,379,1
2009-12-01,27,87,1
2009-12-01,27,273,1
2009-12-01,27,382,1
2009-12-01,27,600,1
2009-12-01,30,38,1
2009-12-01,30,50,1
2009-12-01,30,80,1
2009-12-01,30,95,1
2009-12-01,30,115,1
2009-12-01,30,293,1
2009-12-01,30,462,1
2009-12-01,30,1585,1
2009-12-01,32,41,1
2009-12-01,32,92,1
2009-12-01,32,97,1
2009-12-01,32,306,1
2009-12-01,32,326,1
2009-12-01,33,212,1
2009-12-01,34,177,1
2009-12-01,35,49,1
2009-12-01,38,51,1
2009-12-01,38,138,1
2009-12-01,38,247,1
2009-12-01,39,107,1
2009-12-01,40,62,1
2009-12-01,43,478,1
2009-12-01,50,212,1
2009-12-01,50,575,1
2009-12-01,51,181,1
2009-12-01,55,253,1
2009-12-01,59,176,1
2009-12-01,59,250,1
2009-12-01,65,313,1
2009-12-01,79,1403,1
2009-12-01,83,273,1
2009-12-01,104,409,1
2009-12-01,130,216,1
2009-12-01,501,971,1
2009-12-02,1,4,1
2009-12-02,1,6,1
2009-12-02,1,12,1
2009-12-02,1,19,1
2009-12-02,1,24,1
2009-12-02,1,36,1
2009-12-02,1,200,1
2009-12-02,1,300,1
2009-12-02,1,450,1
2009-12-02,1,480,1
2009-12-02,2,4,1
2009-12-02,2,28,1
2009-12-02,2,48,2
2009-12-02,2,88,1
2009-12-02,2,280,1
2009-12-02,3,54,1
2009-12-02,3,79,1
2009-12-02,3,84,1
2009-12-02,3,118,1
2009-12-02,3,132,1
2009-12-02,3,168,1
2009-12-02,3,592,1
2009-12-02,4,34,1
2009-12-02,4,48,1
2009-12-02,4,55,1
2009-12-02,4,150,1
2009-12-02,4,162,1
2009-12-02,4,303,1
2009-12-02,5,24,1
2009-12-02,5,274,1
2009-12-02,5,840,1
2009-12-02,6,33,1
2009-12-02,6,42,1
2009-12-02,6,68,1
2009-12-02,6,144,2
2009-12-02,7,152,1
2009-12-02,8,90,1
2009-12-02,8,237,1
2009-12-02,8,966,1
2009-12-02,9,41,1
