source_date,legacy_invoice_count,positive_quantity_invoice_count,candidate_outbound_orders,candidate_lines,candidate_units,legacy_positive_lines,legacy_positive_units
2009-12-01,166,120,117,3087,26176,3106,26434
2009-12-02,133,117,115,3248,31903,3254,31938
2009-12-03,150,128,124,2945,49243,2951,50898
2009-12-04,107,90,88,2521,21307,2529,21405
2009-12-05,32,30,30,400,5119,400,5119
2009-12-06,90,74,74,1908,11615,1911,11623
2009-12-07,123,104,101,2816,18039,2828,18557
2009-12-08,170,110,105,2180,23159,2192,26172
2009-12-09,114,96,87,2429,17929,2441,18403
2009-12-10,123,92,91,2400,23715,2403,23718
2009-12-11,121,70,70,1439,21394,1439,21394
2009-12-13,77,71,71,1761,12600,1767,12611
2009-12-14,122,91,87,4052,45386,4066,45435
2009-12-15,123,100,98,1971,27098,1976,27210
2009-12-16,106,98,98,3202,24996,3207,25006
2009-12-17,162,105,103,1861,15583,1867,15665
2009-12-18,84,68,66,2025,17444,2034,17457
2009-12-20,40,34,34,625,6255,628,6263
2009-12-21,52,42,40,614,8781,620,8838
2009-12-22,203,176,45,1824,14456,1977,27101
2009-12-23,32,23,22,523,4588,527,4614
2010-01-04,70,56,27,605,10644,634,11008
2010-01-05,46,37,36,910,11321,911,11421
2010-01-06,14,14,14,293,7493,294,7496
2010-01-07,87,48,47,984,40631,987,40753
2010-01-08,49,45,42,706,12693,712,12713
2010-01-10,37,34,34,699,13425,700,13429
2010-01-11,74,58,54,2647,13964,2664,14900
2010-01-12,65,41,38,1073,21284,1081,21533
2010-01-13,64,36,28,1578,8828,1593,8899
2010-01-14,87,58,57,2168,13887,2172,13895
2010-01-15,53,48,45,640,8435,646,8686
2010-01-17,41,40,40,1114,10041,1114,10041
2010-01-18,50,41,40,1885,10371,1890,10423
2010-01-19,51,47,46,1849,15325,1853,15334
2010-01-20,80,40,36,1131,10710,1136,10736
2010-01-21,88,52,48,1152,72914,1156,72919
2010-01-22,77,49,43,1453,18560,1467,18622
2010-01-24,52,50,50,1267,8900,1268,8903
2010-01-25,72,57,57,1650,10046,1663,10059
2010-01-26,168,124,56,1452,22946,1525,23672
2010-01-27,85,59,56,1517,17856,1523,17955
2010-01-28,83,61,55,1189,11252,1195,11641
2010-01-29,82,57,48,1151,10171,1164,10270
2010-01-31,58,53,53,1390,10762,1393,10779
2010-02-01,82,69,63,1367,9249,1385,9343
2010-02-02,60,46,45,1155,11153,1157,11155
2010-02-03,150,65,49,1437,10291,1459,10388
2010-02-04,143,68,62,1506,12851,1515,12877
2010-02-05,147,45,39,943,10396,953,10488
2010-02-07,35,30,30,810,11201,813,11210
2010-02-08,75,61,58,1320,8613,1330,8631
2010-02-09,58,54,54,1039,10888,1051,10929
2010-02-10,38,31,31,854,3774,860,3783
2010-02-11,101,65,56,808,9036,824,9197
2010-02-12,75,40,32,769,7654,780,8150
2010-02-14,51,46,45,1185,10942,1186,10943
2010-02-15,55,47,44,884,96586,888,96989
2010-02-16,109,69,61,1886,16719,1898,16929
2010-02-17,64,49,48,1005,25069,1008,25072
2010-02-18,91,64,63,1342,19883,1344,24084
2010-02-19,64,58,58,1597,12591,1625,12622
2010-02-21,60,37,37,917,5599,919,5602
2010-02-22,86,62,48,1111,13431,1125,13665
2010-02-23,88,50,47,1144,12314,1153,12448
2010-02-24,123,67,63,1315,22453,1323,22978
2010-02-25,91,68,67,1499,26316,1505,26343
2010-02-26,65,38,36,977,7427,982,10426
2010-02-28,58,53,53,1279,8500,1282,8511
2010-03-01,97,75,58,1176,21460,1197,22033
2010-03-02,137,65,55,1514,11902,1529,12005
2010-03-03,84,63,62,1719,20403,1726,20419
2010-03-04,102,78,73,1883,18604,1900,18803
2010-03-05,86,83,81,1243,18270,1266,18434
2010-03-07,67,58,57,1786,11015,1791,11031
2010-03-08,109,94,75,1917,15568,1946,15828
2010-03-09,105,62,56,1151,12352,1162,12854
2010-03-10,84,61,61,1561,18069,1571,18164
2010-03-11,76,58,52,1288,14607,1295,14882
2010-03-12,54,40,36,903,11041,910,11539
2010-03-14,25,24,24,665,4925,668,4954
2010-03-15,82,63,56,1645,15087,1662,15351
2010-03-16,94,46,45,1295,12926,1303,12942
2010-03-17,56,50,48,1266,78821,1274,78927
2010-03-18,97,86,84,1567,23649,1575,23692
2010-03-19,92,66,54,1348,13392,1364,13426
2010-03-21,64,56,56,1366,12413,1371,12471
2010-03-22,104,59,56,1473,12819,1485,12919
2010-03-23,84,71,67,1289,54470,1296,54482
2010-03-24,117,74,68,1470,15253,1485,15372
2010-03-25,112,86,79,1845,17185,1868,17353
2010-03-26,86,63,61,1347,20907,1355,21000
2010-03-28,60,59,58,1829,14561,1834,14594
2010-03-29,98,85,85,1933,25194,1960,25221
2010-03-30,108,70,70,1812,19289,1815,19298
2010-03-31,87,75,75,1866,13688,1869,13695
2010-04-01,113,98,77,1673,17226,1702,17629
2010-04-06,67,57,55,1085,13051,1089,13071
2010-04-07,72,63,61,1367,23542,1373,23559
2010-04-08,96,86,85,1993,26795,2000,26828
2010-04-09,57,51,51,894,9103,912,9151
2010-04-11,44,42,42,1107,11702,1111,11708
2010-04-12,86,46,44,942,12856,948,12892
2010-04-13,92,56,52,1240,14541,1249,25951
2010-04-14,64,46,45,1085,16356,1093,16536
2010-04-15,89,74,63,1126,10768,1140,10784
2010-04-16,48,42,42,851,14882,855,14902
2010-04-18,57,54,54,1448,13029,1451,13032
2010-04-19,86,79,74,3091,19374,3111,22105
2010-04-20,78,68,66,1514,13526,1523,13543
2010-04-21,86,76,64,1298,13301,1315,13698
2010-04-22,132,80,77,1404,21568,1412,21600
2010-04-23,70,57,56,1131,10275,1136,10286
2010-04-25,50,46,46,1316,8433,1319,8463
2010-04-26,120,100,98,1909,19569,1938,19643
2010-04-27,106,83,79,1636,23554,1647,23629
2010-04-28,79,73,73,1768,19466,1777,19491
2010-04-29,106,85,84,2013,17341,2021,17376
2010-04-30,94,51,49,1224,21348,1234,21364
2010-05-02,43,40,40,838,6304,840,6307
2010-05-04,101,61,52,1384,11305,1399,11588
2010-05-05,117,84,81,1494,15609,1513,15756
2010-05-06,128,86,82,2046,31214,2060,31769
2010-05-07,88,77,66,1327,23174,1344,27062
2010-05-09,64,62,62,1743,11910,1749,11971
2010-05-10,120,85,77,1595,26009,1610,28536
2010-05-11,180,84,65,1663,18194,1687,18751
2010-05-12,138,78,64,1232,21674,1253,22257
2010-05-13,95,72,66,1321,26783,1335,27377
2010-05-14,106,53,48,797,14355,805,15075
2010-05-16,47,44,44,1494,11039,1496,11066
2010-05-17,146,61,48,1362,14431,1378,16187
2010-05-18,91,67,63,1480,22554,1488,24918
2010-05-19,80,70,61,1176,9686,1186,9859
2010-05-20,88,68,67,1587,15637,1592,16026
2010-05-21,125,64,53,1272,10291,1289,10393
2010-05-23,53,49,49,1323,14030,1327,14040
2010-05-24,98,85,71,1394,32784,1412,34691
2010-05-25,156,73,58,1363,15052,1382,15472
2010-05-26,119,96,94,1778,18904,1808,18942
2010-05-27,101,90,87,2018,18004,2023,18055
2010-05-28,99,61,58,1193,12758,1200,12979
2010-05-30,35,32,32,795,6271,795,6271
2010-06-01,54,47,46,1204,8346,1207,8350
2010-06-02,54,49,45,947,11816,955,12055
2010-06-03,114,67,66,1626,17627,1631,17634
2010-06-04,142,65,51,1355,8152,1387,8938
2010-06-06,76,68,68,2206,14183,2208,14188
2010-06-07,119,107,103,2603,29662,2614,29719
2010-06-08,123,100,77,2029,25873,2062,26442
2010-06-09,96,68,68,1419,25487,1424,25492
2010-06-10,100,66,63,999,9729,1005,9739
2010-06-11,103,90,79,1731,21454,1748,21593
2010-06-13,78,70,70,1452,11178,1453,11180
2010-06-14,75,57,57,1582,16100,1589,16250
2010-06-15,80,57,52,1520,20354,1528,20535
