policy,all_stresses_pass,passed_cases,tested_cases,worst_on_time_share,base_cost,base_on_time_share,worst_cost
extra3_ot2_temps0,True,36,36,0.9536449089594425,359040.0,0.9982339665636846,365772.0
extra3_ot2_temps2,True,36,36,0.9536449089594425,359571.0,1.0,370920.0
extra3_ot2_temps4,True,36,36,0.9536449089594425,359829.0,1.0,373311.0
extra4_ot0_temps0,True,36,36,0.9580797125265672,397760.0,0.9979359758101624,397760.0
extra4_ot2_temps0,True,36,36,0.975884660049519,398222.0,1.0,402512.0
extra4_ot0_temps2,True,36,36,0.9580797125265672,398240.0,0.9998422401893118,402800.0
extra4_ot2_temps2,True,36,36,0.975884660049519,398306.0,1.0,404729.0
extra4_ot0_temps4,True,36,36,0.9580797125265672,398480.0,1.0,405200.0
extra4_ot2_temps4,True,36,36,0.975884660049519,398480.0,1.0,405617.0
extra0_ot0_temps0,False,12,36,0.008001928175463966,238656.0,0.9580797125265672,238656.0
extra1_ot0_temps0,False,20,36,0.016231731633033153,278432.0,0.9805122811630403,278432.0
extra0_ot2_temps0,False,16,36,0.012007274480159513,242253.0,0.975884660049519,297429.0
extra1_ot2_temps0,False,26,36,0.5714323276145402,279851.0,0.9868314380244966,316580.0
extra2_ot0_temps0,False,28,36,0.5671815771598852,318208.0,0.9877254102850632,318208.0
extra1_ot0_temps2,False,24,36,0.17044632879773877,280112.0,0.9862924253379785,326672.0
extra0_ot0_temps2,False,16,36,0.039531979228291596,243456.0,0.9767128990556323,327936.0
extra0_ot2_temps2,False,19,36,0.23805955432853482,244527.0,0.9845044808168453,331644.0
extra1_ot2_temps2,False,28,36,0.6378229146125025,281399.0,0.9920243651263174,332585.0
extra1_ot0_temps4,False,25,36,0.18749315278599443,281552.0,0.9916650233353054,336992.0
extra2_ot2_temps0,False,32,36,0.8846731961699423,319528.0,0.9935756699314183,337975.0
extra1_ot2_temps4,False,29,36,0.6521396174324591,282476.0,0.9958368938846163,339182.0
extra0_ot0_temps4,False,18,36,0.09477420627095247,244896.0,0.9848594403908938,340176.0
extra0_ot2_temps4,False,22,36,0.2865224917285655,245604.0,0.9902232739542934,340878.0
extra2_ot0_temps2,False,30,36,0.6158548609741669,319648.0,0.9926203466333618,341968.0
extra2_ot2_temps2,False,33,36,0.8871710598391727,320704.0,0.9973881986897172,346384.0
extra2_ot0_temps4,False,31,36,0.6237559981594689,320608.0,0.9964328753916606,348448.0
extra2_ot2_temps4,False,34,36,0.8889458577094151,321268.0,0.9993645785402835,349981.0
extra3_ot0_temps0,False,32,36,0.8963430399439076,357984.0,0.9935756699314183,357984.0
extra3_ot0_temps2,False,34,36,0.8972107189026929,358944.0,0.9973881986897172,367104.0
extra3_ot0_temps4,False,34,36,0.8972107189026929,359664.0,0.9993645785402835,372144.0
