case,basis,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days
retained_w4_a0_r30_d1,retained,4,0,4,30.0,1,228195,816,183600,43779,0,0.0035758890422664825,False,60481,11062932
retained_w4_a0_r30_d2,retained,4,0,4,30.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932
retained_w4_a0_r40_d1,retained,4,0,4,40.0,1,228195,6438,221757,0,0,0.028212712811411293,False,12168,1598176
retained_w4_a0_r40_d2,retained,4,0,4,40.0,2,228195,26533,201662,0,0,0.11627336269418699,False,12168,1598176
retained_w4_a0_r50_d1,retained,4,0,4,50.0,1,228195,106464,121731,0,0,0.4665483468086505,False,4551,219978
retained_w4_a0_r50_d2,retained,4,0,4,50.0,2,228195,192393,35802,0,0,0.8431078682705581,False,4551,219978
retained_w4_a1_r30_d1,retained,4,1,3,30.0,1,228195,612,137700,89883,0,0.002681916781699862,False,102204,18352056
retained_w4_a1_r30_d2,retained,4,1,3,30.0,2,228195,1224,137088,89883,0,0.005363833563399724,False,102204,18352056
retained_w4_a1_r40_d1,retained,4,1,3,40.0,1,228195,816,183600,43779,0,0.0035758890422664825,False,60481,11062932
retained_w4_a1_r40_d2,retained,4,1,3,40.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932
retained_w4_a1_r50_d1,retained,4,1,3,50.0,1,228195,1020,227175,0,0,0.0044698613028331035,False,20214,3777723
retained_w4_a1_r50_d2,retained,4,1,3,50.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723
retained_w4_a2_r30_d1,retained,4,2,2,30.0,1,228195,408,91800,135987,0,0.0017879445211332412,False,144147,25641180
retained_w4_a2_r30_d2,retained,4,2,2,30.0,2,228195,816,91392,135987,0,0.0035758890422664825,False,144147,25641180
retained_w4_a2_r40_d1,retained,4,2,2,40.0,1,228195,544,122400,105251,0,0.0023839260281776553,False,116144,20781764
retained_w4_a2_r40_d2,retained,4,2,2,40.0,2,228195,1088,121856,105251,0,0.0047678520563553105,False,116144,20781764
retained_w4_a2_r50_d1,retained,4,2,2,50.0,1,228195,680,153000,74515,0,0.002979907535222069,False,88264,15922348
retained_w4_a2_r50_d2,retained,4,2,2,50.0,2,228195,1360,152320,74515,0,0.005959815070444138,False,88264,15922348
retained_w5_a0_r30_d1,retained,5,0,5,30.0,1,228195,1020,227175,0,0,0.0044698613028331035,False,20214,3777723
retained_w5_a0_r30_d2,retained,5,0,5,30.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723
retained_w5_a0_r40_d1,retained,5,0,5,40.0,1,228195,106464,121731,0,0,0.4665483468086505,False,4551,219978
retained_w5_a0_r40_d2,retained,5,0,5,40.0,2,228195,192393,35802,0,0,0.8431078682705581,False,4551,219978
retained_w5_a0_r50_d1,retained,5,0,5,50.0,1,228195,176793,51402,0,0,0.774745283638993,False,4211,77716
retained_w5_a0_r50_d2,retained,5,0,5,50.0,2,228195,220533,7662,0,0,0.966423453625189,True,4211,77716
retained_w5_a1_r30_d1,retained,5,1,4,30.0,1,228195,816,183600,43779,0,0.0035758890422664825,False,60481,11062932
retained_w5_a1_r30_d2,retained,5,1,4,30.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932
retained_w5_a1_r40_d1,retained,5,1,4,40.0,1,228195,6438,221757,0,0,0.028212712811411293,False,12168,1598176
retained_w5_a1_r40_d2,retained,5,1,4,40.0,2,228195,26533,201662,0,0,0.11627336269418699,False,12168,1598176
retained_w5_a1_r50_d1,retained,5,1,4,50.0,1,228195,106464,121731,0,0,0.4665483468086505,False,4551,219978
retained_w5_a1_r50_d2,retained,5,1,4,50.0,2,228195,192393,35802,0,0,0.8431078682705581,False,4551,219978
retained_w5_a2_r30_d1,retained,5,2,3,30.0,1,228195,612,137700,89883,0,0.002681916781699862,False,102204,18352056
retained_w5_a2_r30_d2,retained,5,2,3,30.0,2,228195,1224,137088,89883,0,0.005363833563399724,False,102204,18352056
retained_w5_a2_r40_d1,retained,5,2,3,40.0,1,228195,816,183600,43779,0,0.0035758890422664825,False,60481,11062932
retained_w5_a2_r40_d2,retained,5,2,3,40.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932
retained_w5_a2_r50_d1,retained,5,2,3,50.0,1,228195,1020,227175,0,0,0.0044698613028331035,False,20214,3777723
retained_w5_a2_r50_d2,retained,5,2,3,50.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723
retained_w6_a0_r30_d1,retained,6,0,6,30.0,1,228195,62651,165544,0,0,0.27455027498411444,False,4687,413524
retained_w6_a0_r30_d2,retained,6,0,6,30.0,2,228195,129428,98767,0,0,0.5671815771598852,False,4687,413524
retained_w6_a0_r40_d1,retained,6,0,6,40.0,1,228195,167154,61041,0,0,0.7325050943272201,False,4279,93937
retained_w6_a0_r40_d2,retained,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937
retained_w6_a0_r50_d1,retained,6,0,6,50.0,1,228195,200456,27739,0,0,0.8784416836477574,False,3871,39504
retained_w6_a0_r50_d2,retained,6,0,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504
retained_w6_a1_r30_d1,retained,6,1,5,30.0,1,228195,1020,227175,0,0,0.0044698613028331035,False,20214,3777723
retained_w6_a1_r30_d2,retained,6,1,5,30.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723
