case,date,arrivals,capacity,opening_backlog,completed_on_time,completed_late,closing_backlog,past_due_at_close
retained_w4_a0_r30_d1,2023-01-05,2254,816,0,816,0,1438,1438
retained_w4_a0_r30_d1,2023-01-06,1556,816,1438,0,816,2178,2178
retained_w4_a0_r30_d1,2023-01-07,0,0,2178,0,0,2178,2178
retained_w4_a0_r30_d1,2023-01-08,0,0,2178,0,0,2178,2178
retained_w4_a0_r30_d1,2023-01-09,1374,816,2178,0,816,2736,2736
retained_w4_a0_r30_d1,2023-01-10,1551,816,2736,0,816,3471,3471
retained_w4_a0_r30_d1,2023-01-11,807,816,3471,0,816,3462,3462
retained_w4_a0_r30_d1,2023-01-12,1897,816,3462,0,816,4543,4543
retained_w4_a0_r30_d1,2023-01-13,660,816,4543,0,816,4387,4387
retained_w4_a0_r30_d1,2023-01-14,0,0,4387,0,0,4387,4387
retained_w4_a0_r30_d1,2023-01-15,0,0,4387,0,0,4387,4387
retained_w4_a0_r30_d1,2023-01-16,885,816,4387,0,816,4456,4456
retained_w4_a0_r30_d1,2023-01-17,997,816,4456,0,816,4637,4637
retained_w4_a0_r30_d1,2023-01-18,1909,816,4637,0,816,5730,5730
retained_w4_a0_r30_d1,2023-01-19,250,816,5730,0,816,5164,5164
retained_w4_a0_r30_d1,2023-01-20,321,816,5164,0,816,4669,4669
retained_w4_a0_r30_d1,2023-01-21,0,0,4669,0,0,4669,4669
retained_w4_a0_r30_d1,2023-01-22,0,0,4669,0,0,4669,4669
retained_w4_a0_r30_d1,2023-01-23,856,816,4669,0,816,4709,4709
retained_w4_a0_r30_d1,2023-01-24,563,816,4709,0,816,4456,4456
retained_w4_a0_r30_d1,2023-01-25,2819,816,4456,0,816,6459,6459
retained_w4_a0_r30_d1,2023-01-26,871,816,6459,0,816,6514,6514
retained_w4_a0_r30_d1,2023-01-27,731,816,6514,0,816,6429,6429
retained_w4_a0_r30_d1,2023-01-28,0,0,6429,0,0,6429,6429
retained_w4_a0_r30_d1,2023-01-29,0,0,6429,0,0,6429,6429
