basis,absent,rate,service_days,minimum_tested_workers,interpretation
retained,0,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,0,30,2,8,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,0,40,1,11,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,0,40,2,6,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,0,50,1,9,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,0,50,2,5,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,30,2,9,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,40,1,12,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,40,2,7,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,50,1,10,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,1,50,2,6,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,30,2,10,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,40,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,40,2,8,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,50,1,11,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
retained,2,50,2,7,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,30,2,8,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,40,1,10,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,40,2,6,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,50,1,8,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,0,50,2,5,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,30,2,9,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,40,1,11,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,40,2,7,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,50,1,9,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,1,50,2,6,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,30,1,,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,30,2,10,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,40,1,12,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,40,2,8,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,50,1,10,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
deduplicated_sensitivity,2,50,2,7,Lowest passing value in tested 4-12 grid; not an actual hiring recommendation
