source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2010-2011,2010-12-01,3108,143,3081,27007,27
Year 2010-2011,2010-12-02,2109,167,2064,31348,45
Year 2010-2011,2010-12-03,2202,108,2160,16471,42
Year 2010-2011,2010-12-05,2725,95,2709,16451,16
Year 2010-2011,2010-12-06,3878,133,3822,21951,56
Year 2010-2011,2010-12-07,2963,111,2921,25365,42
Year 2010-2011,2010-12-08,2647,148,2572,23125,75
Year 2010-2011,2010-12-09,2891,183,2801,20730,90
Year 2010-2011,2010-12-10,2758,91,2685,21155,73
Year 2010-2011,2010-12-12,1451,51,1439,10603,12
Year 2010-2011,2010-12-13,2283,84,2263,17727,20
Year 2010-2011,2010-12-14,2087,144,2010,20767,77
Year 2010-2011,2010-12-15,1349,98,1307,18493,42
Year 2010-2011,2010-12-16,1790,150,1751,29947,39
Year 2010-2011,2010-12-17,3115,72,3106,16959,9
Year 2010-2011,2010-12-19,522,25,518,3799,4
Year 2010-2011,2010-12-20,1763,96,1679,15793,84
Year 2010-2011,2010-12-21,1586,66,1565,15658,21
Year 2010-2011,2010-12-22,291,22,286,3213,5
Year 2010-2011,2010-12-23,963,38,944,5754,19
Year 2010-2011,2011-01-04,1184,57,1160,8678,24
Year 2010-2011,2011-01-05,1743,76,1667,19806,76
Year 2010-2011,2011-01-06,1832,78,1769,23178,63
Year 2010-2011,2011-01-07,1794,58,1766,17160,28
Year 2010-2011,2011-01-09,1117,51,1098,8202,19
Year 2010-2011,2011-01-10,1976,61,1956,13091,20
Year 2010-2011,2011-01-11,1454,84,1405,29458,49
Year 2010-2011,2011-01-12,1809,62,1784,10623,25
Year 2010-2011,2011-01-13,1445,51,1434,10175,11
Year 2010-2011,2011-01-14,1510,56,1493,23149,17
Year 2010-2011,2011-01-16,646,29,642,4204,4
Year 2010-2011,2011-01-17,2557,55,2551,13397,6
Year 2010-2011,2011-01-18,1447,51,1428,82978,19
Year 2010-2011,2011-01-19,1416,43,1407,17387,9
Year 2010-2011,2011-01-20,1502,54,1478,10497,24
Year 2010-2011,2011-01-21,1594,64,1532,15305,62
Year 2010-2011,2011-01-23,879,30,860,5241,19
Year 2010-2011,2011-01-24,1485,61,1472,12029,13
Year 2010-2011,2011-01-25,1654,86,1600,15614,54
