source_sheet,planning_date,source_lines,distinct_invoice_ids,positive_quantity_lines,positive_units,nonpositive_quantity_lines
Year 2009-2010,2009-12-01,3223,166,3106,26434,117
Year 2009-2010,2009-12-02,3277,133,3254,31938,23
Year 2009-2010,2009-12-03,3002,150,2951,50898,51
Year 2009-2010,2009-12-04,2559,107,2529,21405,30
Year 2009-2010,2009-12-05,402,32,400,5119,2
Year 2009-2010,2009-12-06,1942,90,1911,11623,31
Year 2009-2010,2009-12-07,2869,123,2828,18557,41
Year 2009-2010,2009-12-08,2440,170,2192,26172,248
Year 2009-2010,2009-12-09,2470,114,2441,18403,29
Year 2009-2010,2009-12-10,2492,123,2403,23718,89
Year 2009-2010,2009-12-11,1542,121,1439,21394,103
Year 2009-2010,2009-12-13,1776,77,1767,12611,9
Year 2009-2010,2009-12-14,4117,122,4066,45435,51
Year 2009-2010,2009-12-15,2004,123,1976,27210,28
Year 2009-2010,2009-12-16,3216,106,3207,25006,9
Year 2009-2010,2009-12-17,1965,162,1867,15665,98
Year 2009-2010,2009-12-18,2057,84,2034,17457,23
Year 2009-2010,2009-12-20,637,40,628,6263,9
Year 2009-2010,2009-12-21,645,52,620,8838,25
Year 2009-2010,2009-12-22,2053,203,1977,27101,76
Year 2009-2010,2009-12-23,540,32,527,4614,13
Year 2009-2010,2010-01-04,668,70,634,11008,34
Year 2009-2010,2010-01-05,938,46,911,11421,27
Year 2009-2010,2010-01-06,294,14,294,7496,0
Year 2009-2010,2010-01-07,1065,87,987,40753,78
Year 2009-2010,2010-01-08,719,49,712,12713,7
Year 2009-2010,2010-01-10,704,37,700,13429,4
Year 2009-2010,2010-01-11,2688,74,2664,14900,24
Year 2009-2010,2010-01-12,1107,65,1081,21533,26
Year 2009-2010,2010-01-13,1644,64,1593,8899,51
Year 2009-2010,2010-01-14,2230,87,2172,13895,58
Year 2009-2010,2010-01-15,662,53,646,8686,16
Year 2009-2010,2010-01-17,1116,41,1114,10041,2
Year 2009-2010,2010-01-18,1908,50,1890,10423,18
Year 2009-2010,2010-01-19,1859,51,1853,15334,6
Year 2009-2010,2010-01-20,1224,80,1136,10736,88
Year 2009-2010,2010-01-21,1228,88,1156,72919,72
Year 2009-2010,2010-01-22,1520,77,1467,18622,53
Year 2009-2010,2010-01-24,1271,52,1268,8903,3
Year 2009-2010,2010-01-25,1699,72,1663,10059,36
Year 2009-2010,2010-01-26,1588,168,1525,23672,63
Year 2009-2010,2010-01-27,1560,85,1523,17955,37
Year 2009-2010,2010-01-28,1254,83,1195,11641,59
Year 2009-2010,2010-01-29,1209,82,1164,10270,45
Year 2009-2010,2010-01-31,1400,58,1393,10779,7
Year 2009-2010,2010-02-01,1399,82,1385,9343,14
Year 2009-2010,2010-02-02,1177,60,1157,11155,20
Year 2009-2010,2010-02-03,1551,150,1459,10388,92
Year 2009-2010,2010-02-04,1590,143,1515,12877,75
Year 2009-2010,2010-02-05,1077,147,953,10488,124
Year 2009-2010,2010-02-07,844,35,813,11210,31
Year 2009-2010,2010-02-08,1373,75,1330,8631,43
Year 2009-2010,2010-02-09,1058,58,1051,10929,7
Year 2009-2010,2010-02-10,884,38,860,3783,24
Year 2009-2010,2010-02-11,871,101,824,9197,47
Year 2009-2010,2010-02-12,824,75,780,8150,44
Year 2009-2010,2010-02-14,1194,51,1186,10943,8
Year 2009-2010,2010-02-15,899,55,888,96989,11
Year 2009-2010,2010-02-16,1950,109,1898,16929,52
Year 2009-2010,2010-02-17,1050,64,1008,25072,42
Year 2009-2010,2010-02-18,1390,91,1344,24084,46
Year 2009-2010,2010-02-19,1634,64,1625,12622,9
Year 2009-2010,2010-02-21,981,60,919,5602,62
Year 2009-2010,2010-02-22,1156,86,1125,13665,31
Year 2009-2010,2010-02-23,1214,88,1153,12448,61
Year 2009-2010,2010-02-24,1390,123,1323,22978,67
Year 2009-2010,2010-02-25,1561,91,1505,26343,56
Year 2009-2010,2010-02-26,1028,65,982,10426,46
Year 2009-2010,2010-02-28,1293,58,1282,8511,11
Year 2009-2010,2010-03-01,1230,97,1197,22033,33
Year 2009-2010,2010-03-02,1619,137,1529,12005,90
Year 2009-2010,2010-03-03,1763,84,1726,20419,37
Year 2009-2010,2010-03-04,1937,102,1900,18803,37
Year 2009-2010,2010-03-05,1269,86,1266,18434,3
Year 2009-2010,2010-03-07,1802,67,1791,11031,11
Year 2009-2010,2010-03-08,1972,109,1946,15828,26
Year 2009-2010,2010-03-09,1254,105,1162,12854,92
Year 2009-2010,2010-03-10,1607,84,1571,18164,36
Year 2009-2010,2010-03-11,1319,76,1295,14882,24
Year 2009-2010,2010-03-12,932,54,910,11539,22
Year 2009-2010,2010-03-14,669,25,668,4954,1
Year 2009-2010,2010-03-15,1690,82,1662,15351,28
Year 2009-2010,2010-03-16,1396,94,1303,12942,93
Year 2009-2010,2010-03-17,1293,56,1274,78927,19
Year 2009-2010,2010-03-18,1591,97,1575,23692,16
Year 2009-2010,2010-03-19,1408,92,1364,13426,44
Year 2009-2010,2010-03-21,1392,64,1371,12471,21
Year 2009-2010,2010-03-22,1553,104,1485,12919,68
Year 2009-2010,2010-03-23,1315,84,1296,54482,19
Year 2009-2010,2010-03-24,1594,117,1485,15372,109
Year 2009-2010,2010-03-25,1899,112,1868,17353,31
Year 2009-2010,2010-03-26,1388,86,1355,21000,33
Year 2009-2010,2010-03-28,1838,60,1834,14594,4
Year 2009-2010,2010-03-29,1983,98,1960,25221,23
Year 2009-2010,2010-03-30,1900,108,1815,19298,85
Year 2009-2010,2010-03-31,1898,87,1869,13695,29
