demand_key,basis,date,segment,orders,units,evidence
retained|2023-01-05|large_over_5,retained,2023-01-05,large_over_5,53,1911,Observed source aggregation; duplicate interpretation varies
retained|2023-01-05|small_1_5,retained,2023-01-05,small_1_5,217,343,Observed source aggregation; duplicate interpretation varies
retained|2023-01-06|large_over_5,retained,2023-01-06,large_over_5,73,1295,Observed source aggregation; duplicate interpretation varies
retained|2023-01-06|small_1_5,retained,2023-01-06,small_1_5,132,261,Observed source aggregation; duplicate interpretation varies
retained|2023-01-09|large_over_5,retained,2023-01-09,large_over_5,53,886,Observed source aggregation; duplicate interpretation varies
retained|2023-01-09|small_1_5,retained,2023-01-09,small_1_5,269,488,Observed source aggregation; duplicate interpretation varies
retained|2023-01-10|large_over_5,retained,2023-01-10,large_over_5,24,1156,Observed source aggregation; duplicate interpretation varies
retained|2023-01-10|small_1_5,retained,2023-01-10,small_1_5,222,395,Observed source aggregation; duplicate interpretation varies
retained|2023-01-11|large_over_5,retained,2023-01-11,large_over_5,36,393,Observed source aggregation; duplicate interpretation varies
retained|2023-01-11|small_1_5,retained,2023-01-11,small_1_5,217,414,Observed source aggregation; duplicate interpretation varies
retained|2023-01-12|large_over_5,retained,2023-01-12,large_over_5,56,1478,Observed source aggregation; duplicate interpretation varies
retained|2023-01-12|small_1_5,retained,2023-01-12,small_1_5,235,419,Observed source aggregation; duplicate interpretation varies
retained|2023-01-13|large_over_5,retained,2023-01-13,large_over_5,15,368,Observed source aggregation; duplicate interpretation varies
retained|2023-01-13|small_1_5,retained,2023-01-13,small_1_5,179,292,Observed source aggregation; duplicate interpretation varies
retained|2023-01-16|large_over_5,retained,2023-01-16,large_over_5,23,557,Observed source aggregation; duplicate interpretation varies
retained|2023-01-16|small_1_5,retained,2023-01-16,small_1_5,186,328,Observed source aggregation; duplicate interpretation varies
retained|2023-01-17|large_over_5,retained,2023-01-17,large_over_5,18,767,Observed source aggregation; duplicate interpretation varies
retained|2023-01-17|small_1_5,retained,2023-01-17,small_1_5,145,230,Observed source aggregation; duplicate interpretation varies
retained|2023-01-18|large_over_5,retained,2023-01-18,large_over_5,55,1429,Observed source aggregation; duplicate interpretation varies
retained|2023-01-18|small_1_5,retained,2023-01-18,small_1_5,259,480,Observed source aggregation; duplicate interpretation varies
retained|2023-01-19|large_over_5,retained,2023-01-19,large_over_5,7,151,Observed source aggregation; duplicate interpretation varies
retained|2023-01-19|small_1_5,retained,2023-01-19,small_1_5,65,99,Observed source aggregation; duplicate interpretation varies
retained|2023-01-20|large_over_5,retained,2023-01-20,large_over_5,12,189,Observed source aggregation; duplicate interpretation varies
retained|2023-01-20|small_1_5,retained,2023-01-20,small_1_5,75,132,Observed source aggregation; duplicate interpretation varies
retained|2023-01-23|large_over_5,retained,2023-01-23,large_over_5,36,590,Observed source aggregation; duplicate interpretation varies
retained|2023-01-23|small_1_5,retained,2023-01-23,small_1_5,144,266,Observed source aggregation; duplicate interpretation varies
retained|2023-01-24|large_over_5,retained,2023-01-24,large_over_5,23,330,Observed source aggregation; duplicate interpretation varies
retained|2023-01-24|small_1_5,retained,2023-01-24,small_1_5,139,233,Observed source aggregation; duplicate interpretation varies
retained|2023-01-25|large_over_5,retained,2023-01-25,large_over_5,35,2518,Observed source aggregation; duplicate interpretation varies
retained|2023-01-25|small_1_5,retained,2023-01-25,small_1_5,163,301,Observed source aggregation; duplicate interpretation varies
retained|2023-01-26|large_over_5,retained,2023-01-26,large_over_5,25,661,Observed source aggregation; duplicate interpretation varies
retained|2023-01-26|small_1_5,retained,2023-01-26,small_1_5,122,210,Observed source aggregation; duplicate interpretation varies
retained|2023-01-27|large_over_5,retained,2023-01-27,large_over_5,21,520,Observed source aggregation; duplicate interpretation varies
retained|2023-01-27|small_1_5,retained,2023-01-27,small_1_5,121,211,Observed source aggregation; duplicate interpretation varies
retained|2023-01-30|large_over_5,retained,2023-01-30,large_over_5,37,745,Observed source aggregation; duplicate interpretation varies
retained|2023-01-30|small_1_5,retained,2023-01-30,small_1_5,188,338,Observed source aggregation; duplicate interpretation varies
retained|2023-01-31|large_over_5,retained,2023-01-31,large_over_5,30,620,Observed source aggregation; duplicate interpretation varies
retained|2023-01-31|small_1_5,retained,2023-01-31,small_1_5,226,403,Observed source aggregation; duplicate interpretation varies
retained|2023-02-01|large_over_5,retained,2023-02-01,large_over_5,9,136,Observed source aggregation; duplicate interpretation varies
retained|2023-02-01|small_1_5,retained,2023-02-01,small_1_5,86,142,Observed source aggregation; duplicate interpretation varies
retained|2023-02-02|large_over_5,retained,2023-02-02,large_over_5,35,873,Observed source aggregation; duplicate interpretation varies
retained|2023-02-02|small_1_5,retained,2023-02-02,small_1_5,234,420,Observed source aggregation; duplicate interpretation varies
retained|2023-02-03|large_over_5,retained,2023-02-03,large_over_5,26,411,Observed source aggregation; duplicate interpretation varies
retained|2023-02-03|small_1_5,retained,2023-02-03,small_1_5,135,251,Observed source aggregation; duplicate interpretation varies
retained|2023-02-06|large_over_5,retained,2023-02-06,large_over_5,46,1232,Observed source aggregation; duplicate interpretation varies
retained|2023-02-06|small_1_5,retained,2023-02-06,small_1_5,172,294,Observed source aggregation; duplicate interpretation varies
retained|2023-02-07|large_over_5,retained,2023-02-07,large_over_5,28,484,Observed source aggregation; duplicate interpretation varies
retained|2023-02-07|small_1_5,retained,2023-02-07,small_1_5,217,370,Observed source aggregation; duplicate interpretation varies
retained|2023-02-08|large_over_5,retained,2023-02-08,large_over_5,25,682,Observed source aggregation; duplicate interpretation varies
retained|2023-02-08|small_1_5,retained,2023-02-08,small_1_5,179,293,Observed source aggregation; duplicate interpretation varies
retained|2023-02-09|large_over_5,retained,2023-02-09,large_over_5,47,1300,Observed source aggregation; duplicate interpretation varies
retained|2023-02-09|small_1_5,retained,2023-02-09,small_1_5,235,407,Observed source aggregation; duplicate interpretation varies
retained|2023-02-10|large_over_5,retained,2023-02-10,large_over_5,23,283,Observed source aggregation; duplicate interpretation varies
retained|2023-02-10|small_1_5,retained,2023-02-10,small_1_5,104,179,Observed source aggregation; duplicate interpretation varies
retained|2023-02-13|large_over_5,retained,2023-02-13,large_over_5,40,939,Observed source aggregation; duplicate interpretation varies
retained|2023-02-13|small_1_5,retained,2023-02-13,small_1_5,228,367,Observed source aggregation; duplicate interpretation varies
retained|2023-02-14|large_over_5,retained,2023-02-14,large_over_5,17,415,Observed source aggregation; duplicate interpretation varies
retained|2023-02-14|small_1_5,retained,2023-02-14,small_1_5,134,223,Observed source aggregation; duplicate interpretation varies
retained|2023-02-15|large_over_5,retained,2023-02-15,large_over_5,12,287,Observed source aggregation; duplicate interpretation varies
retained|2023-02-15|small_1_5,retained,2023-02-15,small_1_5,58,97,Observed source aggregation; duplicate interpretation varies
retained|2023-02-16|large_over_5,retained,2023-02-16,large_over_5,93,1543,Observed source aggregation; duplicate interpretation varies
retained|2023-02-16|small_1_5,retained,2023-02-16,small_1_5,490,840,Observed source aggregation; duplicate interpretation varies
retained|2023-02-19|large_over_5,retained,2023-02-19,large_over_5,1,1920,Observed source aggregation; duplicate interpretation varies
retained|2023-02-21|large_over_5,retained,2023-02-21,large_over_5,71,1342,Observed source aggregation; duplicate interpretation varies
retained|2023-02-21|small_1_5,retained,2023-02-21,small_1_5,353,601,Observed source aggregation; duplicate interpretation varies
retained|2023-02-22|large_over_5,retained,2023-02-22,large_over_5,47,984,Observed source aggregation; duplicate interpretation varies
retained|2023-02-22|small_1_5,retained,2023-02-22,small_1_5,255,430,Observed source aggregation; duplicate interpretation varies
retained|2023-02-23|large_over_5,retained,2023-02-23,large_over_5,42,1531,Observed source aggregation; duplicate interpretation varies
retained|2023-02-23|small_1_5,retained,2023-02-23,small_1_5,235,376,Observed source aggregation; duplicate interpretation varies
retained|2023-02-24|large_over_5,retained,2023-02-24,large_over_5,52,822,Observed source aggregation; duplicate interpretation varies
retained|2023-02-24|small_1_5,retained,2023-02-24,small_1_5,181,341,Observed source aggregation; duplicate interpretation varies
retained|2023-02-27|large_over_5,retained,2023-02-27,large_over_5,51,835,Observed source aggregation; duplicate interpretation varies
retained|2023-02-27|small_1_5,retained,2023-02-27,small_1_5,435,661,Observed source aggregation; duplicate interpretation varies
retained|2023-02-28|large_over_5,retained,2023-02-28,large_over_5,35,713,Observed source aggregation; duplicate interpretation varies
retained|2023-02-28|small_1_5,retained,2023-02-28,small_1_5,239,421,Observed source aggregation; duplicate interpretation varies
