product_key,basis,month,rank,reference,units,month_unit_share
2023-01|PY5UPB,retained,2023-01,1,PY5UPB,1920,0.08568750836792074
2023-01|8N10W9,retained,2023-01,2,8N10W9,1655,0.07386084705672334
2023-01|WRRW1W,retained,2023-01,3,WRRW1W,1052,0.04694961395992324
2023-01|I1KDJ0,retained,2023-01,4,I1KDJ0,952,0.04248672289909403
2023-01|AHR20O,retained,2023-01,5,AHR20O,870,0.03882715222921408
2023-01|I2B1FH,retained,2023-01,6,I2B1FH,781,0.03485517918507609
2023-01|SMMRK3,retained,2023-01,7,SMMRK3,590,0.026331057258892312
2023-01|UNPPMJ,retained,2023-01,8,UNPPMJ,553,0.024679787566385506
2023-01|05W6TK,retained,2023-01,9,05W6TK,530,0.023653322622394786
2023-01|8D9SAW,retained,2023-01,10,8D9SAW,525,0.023430178069353328
2023-02|PY5UPB,retained,2023-02,1,PY5UPB,1920,0.0818937939859245
2023-02|8N10W9,retained,2023-02,2,8N10W9,1452,0.0619321817018554
2023-02|IA7X1P,retained,2023-02,3,IA7X1P,931,0.03970995947963318
2023-02|WRRW1W,retained,2023-02,4,WRRW1W,868,0.037022819364470036
2023-02|UNPPMJ,retained,2023-02,5,UNPPMJ,843,0.03595649392194498
2023-02|W25EZN,retained,2023-02,6,W25EZN,828,0.035316698656429946
2023-02|I1KDJ0,retained,2023-02,7,I1KDJ0,822,0.03506078055022393
2023-02|05W6TK,retained,2023-02,8,05W6TK,802,0.034207720196203883
2023-02|AHR20O,retained,2023-02,9,AHR20O,698,0.02977180635529964
2023-02|6M2FJM,retained,2023-02,10,6M2FJM,597,0.0254638515674984
2023-03|B24J86,retained,2023-03,1,B24J86,2418,0.09353241528701842
2023-03|05W6TK,retained,2023-03,2,05W6TK,1525,0.058989633297230386
2023-03|8N10W9,retained,2023-03,3,8N10W9,1505,0.058215998762184744
2023-03|JHSQHS,retained,2023-03,4,JHSQHS,1288,0.0498220640569395
2023-03|I1KDJ0,retained,2023-03,5,I1KDJ0,1235,0.04777193253906854
2023-03|8D9SAW,retained,2023-03,6,8D9SAW,1001,0.038720408479034504
2023-03|WRRW1W,retained,2023-03,7,WRRW1W,939,0.03632214142039301
2023-03|WGHG3L,retained,2023-03,8,WGHG3L,856,0.03311155809995358
2023-03|V7JUQL,retained,2023-03,9,V7JUQL,745,0.028817886430450256
2023-03|D05ZS7,retained,2023-03,10,D05ZS7,658,0.025452576203001703
2023-04|8N10W9,retained,2023-04,1,8N10W9,1834,0.08398589549846591
2023-04|WRRW1W,retained,2023-04,2,WRRW1W,1010,0.0462517745111508
2023-04|HOUJQN,retained,2023-04,3,HOUJQN,995,0.045564866968905986
2023-04|I1KDJ0,retained,2023-04,4,I1KDJ0,794,0.03636030590282548
2023-04|SMMRK3,retained,2023-04,5,SMMRK3,742,0.03397902642304346
2023-04|8D9SAW,retained,2023-04,6,8D9SAW,610,0.027934240051289097
2023-04|G8ASPE,retained,2023-04,7,G8ASPE,560,0.025644548243806384
2023-04|Z8KPP8,retained,2023-04,8,Z8KPP8,558,0.025552960571507074
2023-04|DGAONE,retained,2023-04,9,DGAONE,521,0.023858588633969866
2023-04|ZRCYSH,retained,2023-04,10,ZRCYSH,479,0.02193524751568439
2023-05|8N10W9,retained,2023-05,1,8N10W9,2504,0.07858891469462055
2023-05|PY5UPB,retained,2023-05,2,PY5UPB,1920,0.06025987069236081
2023-05|F7LULH,retained,2023-05,3,F7LULH,1823,0.05721549180842383
2023-05|WRRW1W,retained,2023-05,4,WRRW1W,1303,0.04089511016257611
2023-05|I1KDJ0,retained,2023-05,5,I1KDJ0,1248,0.03916891595003452
2023-05|IJBSQT,retained,2023-05,6,IJBSQT,1093,0.03430418680559914
2023-05|SMMRK3,retained,2023-05,7,SMMRK3,1007,0.03160504676417049
2023-05|8D9SAW,retained,2023-05,8,8D9SAW,910,0.028560667880233506
2023-05|NM6C73,retained,2023-05,9,NM6C73,886,0.027807419496578997
2023-05|SY1DDY,retained,2023-05,10,SY1DDY,757,0.023758709434436004
2023-06|PY5UPB,retained,2023-06,1,PY5UPB,5720,0.24422526792195037
2023-06|8N10W9,retained,2023-06,2,8N10W9,1539,0.06571026002305623
2023-06|I1KDJ0,retained,2023-06,3,I1KDJ0,1313,0.05606080013662952
2023-06|WRRW1W,retained,2023-06,4,WRRW1W,948,0.04047649545279877
2023-06|SMMRK3,retained,2023-06,5,SMMRK3,556,0.023739379189616158
2023-06|8D9SAW,retained,2023-06,6,8D9SAW,544,0.023227018487681994
2023-06|KTDZY0,retained,2023-06,7,KTDZY0,466,0.019896673925109944
2023-06|JEGRCL,retained,2023-06,8,JEGRCL,437,0.01865846889543572
2023-06|2T1DJM,retained,2023-06,9,2T1DJM,392,0.016737116263182614
2023-06|TNAHD4,retained,2023-06,10,TNAHD4,389,0.016609026087699073
2023-07|8N10W9,retained,2023-07,1,8N10W9,2083,0.11326808047852094
2023-07|WRRW1W,retained,2023-07,2,WRRW1W,995,0.05410549211528004
2023-07|8D9SAW,retained,2023-07,3,8D9SAW,799,0.043447525829255026
2023-07|05W6TK,retained,2023-07,4,05W6TK,609,0.03311582381729201
2023-07|U95NWB,retained,2023-07,5,U95NWB,603,0.03278955954323002
2023-07|SMMRK3,retained,2023-07,6,SMMRK3,561,0.030505709624796085
2023-07|2T1DJM,retained,2023-07,7,2T1DJM,559,0.030396954866775423
2023-07|I1KDJ0,retained,2023-07,8,I1KDJ0,498,0.027079934747145186
2023-07|JEGRCL,retained,2023-07,9,JEGRCL,458,0.024904839586731918
2023-07|6M2FJM,retained,2023-07,10,6M2FJM,398,0.021642196846112016
2023-08|05W6TK,retained,2023-08,1,05W6TK,2066,0.08903253609135962
2023-08|8N10W9,retained,2023-08,2,8N10W9,2045,0.08812755871579402
2023-08|I1KDJ0,retained,2023-08,3,I1KDJ0,972,0.041887524240465414
2023-08|WRRW1W,retained,2023-08,4,WRRW1W,958,0.04128420599008834
2023-08|32ZKOX,retained,2023-08,5,32ZKOX,812,0.03499245852187029
2023-08|G8ASPE,retained,2023-08,6,G8ASPE,666,0.02870071105365223
2023-08|LXJQVG,retained,2023-08,7,LXJQVG,647,0.02788192199956906
2023-08|AHR20O,retained,2023-08,8,AHR20O,629,0.027106227106227107
2023-08|8D9SAW,retained,2023-08,9,8D9SAW,568,0.024477483301012713
2023-08|SMMRK3,retained,2023-08,10,SMMRK3,564,0.024305106658047835
2023-09|PY5UPB,retained,2023-09,1,PY5UPB,1920,0.091681787794862
2023-09|05W6TK,retained,2023-09,2,05W6TK,1761,0.08408938974309998
2023-09|8N10W9,retained,2023-09,3,8N10W9,1694,0.08089007735650845
2023-09|9FWH2G,retained,2023-09,4,9FWH2G,1380,0.06589628497755706
2023-09|I1KDJ0,retained,2023-09,5,I1KDJ0,935,0.044647120618852065
2023-09|SMMRK3,retained,2023-09,6,SMMRK3,902,0.04307133989112788
2023-09|WRRW1W,retained,2023-09,7,WRRW1W,690,0.03294814248877853
2023-09|JHSQHS,retained,2023-09,8,JHSQHS,565,0.02697927609588387
2023-09|6M2FJM,retained,2023-09,9,6M2FJM,417,0.01991213828669659
2023-09|AKP0A7,retained,2023-09,10,AKP0A7,383,0.018288606627829242
2023-10|8N10W9,retained,2023-10,1,8N10W9,1759,0.10449091125103956
2023-10|WRRW1W,retained,2023-10,2,WRRW1W,758,0.045027919686349054
2023-10|I1KDJ0,retained,2023-10,3,I1KDJ0,722,0.04288939051918736
2023-10|SMMRK3,retained,2023-10,4,SMMRK3,688,0.04086966852797909
2023-10|8D9SAW,retained,2023-10,5,8D9SAW,488,0.028988950932636332
2023-10|AKP0A7,retained,2023-10,6,AKP0A7,467,0.027741475585125342
2023-10|2T1DJM,retained,2023-10,7,2T1DJM,440,0.02613757870975407
2023-10|AHR20O,retained,2023-10,8,AHR20O,432,0.02566235000594036
2023-10|VHQ356,retained,2023-10,9,VHQ356,408,0.024236663894499227
2023-10|05W6TK,retained,2023-10,10,05W6TK,400,0.023761435190685517
