policy,scheduled_workers,extra_workers,ot_limit,temp_limit
extra0_ot0_temps0,6,0,0,0
extra0_ot0_temps2,6,0,0,2
extra0_ot0_temps4,6,0,0,4
extra0_ot2_temps0,6,0,2,0
extra0_ot2_temps2,6,0,2,2
extra0_ot2_temps4,6,0,2,4
extra1_ot0_temps0,7,1,0,0
extra1_ot0_temps2,7,1,0,2
extra1_ot0_temps4,7,1,0,4
extra1_ot2_temps0,7,1,2,0
extra1_ot2_temps2,7,1,2,2
extra1_ot2_temps4,7,1,2,4
extra2_ot0_temps0,8,2,0,0
extra2_ot0_temps2,8,2,0,2
extra2_ot0_temps4,8,2,0,4
extra2_ot2_temps0,8,2,2,0
extra2_ot2_temps2,8,2,2,2
extra2_ot2_temps4,8,2,2,4
extra3_ot0_temps0,9,3,0,0
extra3_ot0_temps2,9,3,0,2
extra3_ot0_temps4,9,3,0,4
extra3_ot2_temps0,9,3,2,0
extra3_ot2_temps2,9,3,2,2
extra3_ot2_temps4,9,3,2,4
extra4_ot0_temps0,10,4,0,0
extra4_ot0_temps2,10,4,0,2
extra4_ot0_temps4,10,4,0,4
extra4_ot2_temps0,10,4,2,0
extra4_ot2_temps2,10,4,2,2
extra4_ot2_temps4,10,4,2,4
