price_key,wage,overtime_multiplier,temporary_rate,base_choice,robust_choice
18|1.25|24,18,1.25,24,extra0_ot0_temps0,extra3_ot2_temps0
18|1.25|30,18,1.25,30,extra0_ot0_temps0,extra3_ot2_temps0
18|1.25|40,18,1.25,40,extra0_ot0_temps0,extra3_ot2_temps0
18|1.5|24,18,1.5,24,extra0_ot0_temps0,extra3_ot2_temps0
18|1.5|30,18,1.5,30,extra0_ot0_temps0,extra3_ot2_temps0
18|1.5|40,18,1.5,40,extra0_ot0_temps0,extra3_ot2_temps0
18|2|24,18,2,24,extra0_ot0_temps0,extra3_ot2_temps0
18|2|30,18,2,30,extra0_ot0_temps0,extra3_ot2_temps0
18|2|40,18,2,40,extra0_ot0_temps0,extra3_ot2_temps0
22|1.25|24,22,1.25,24,extra0_ot0_temps0,extra3_ot2_temps0
22|1.25|30,22,1.25,30,extra0_ot0_temps0,extra3_ot2_temps0
22|1.25|40,22,1.25,40,extra0_ot0_temps0,extra3_ot2_temps0
22|1.5|24,22,1.5,24,extra0_ot0_temps0,extra3_ot2_temps0
22|1.5|30,22,1.5,30,extra0_ot0_temps0,extra3_ot2_temps0
22|1.5|40,22,1.5,40,extra0_ot0_temps0,extra3_ot2_temps0
22|2|24,22,2,24,extra0_ot0_temps0,extra3_ot2_temps0
22|2|30,22,2,30,extra0_ot0_temps0,extra3_ot2_temps0
22|2|40,22,2,40,extra0_ot0_temps0,extra3_ot2_temps0
28|1.25|24,28,1.25,24,extra0_ot0_temps0,extra3_ot2_temps0
28|1.25|30,28,1.25,30,extra0_ot0_temps0,extra3_ot2_temps0
28|1.25|40,28,1.25,40,extra0_ot0_temps0,extra3_ot2_temps0
28|1.5|24,28,1.5,24,extra0_ot0_temps0,extra3_ot2_temps0
28|1.5|30,28,1.5,30,extra0_ot0_temps0,extra3_ot2_temps0
28|1.5|40,28,1.5,40,extra0_ot0_temps0,extra3_ot2_temps0
28|2|24,28,2,24,extra0_ot0_temps0,extra3_ot2_temps0
28|2|30,28,2,30,extra0_ot0_temps0,extra3_ot2_temps0
28|2|40,28,2,40,extra0_ot0_temps0,extra3_ot2_temps0
