case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps0|retained|30.0|0|1,full,extra0_ot0_temps0,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,129428,98767,0,0,0.5671815771598852,False,4687,413524,238656.0
full|extra0_ot0_temps0|retained|30.0|0|3,full,extra0_ot0_temps0,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,129428,98767,0,0,0.5671815771598852,False,4687,413524,238656.0
full|extra0_ot0_temps0|retained|30.0|1|1,full,extra0_ot0_temps0,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723,238656.0
full|extra0_ot0_temps0|retained|30.0|1|3,full,extra0_ot0_temps0,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,3704,224491,0,0,0.016231731633033153,False,20214,3777723,238656.0
full|extra0_ot0_temps0|retained|30.0|2|1,full,extra0_ot0_temps0,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932,238656.0
full|extra0_ot0_temps0|retained|30.0|2|3,full,extra0_ot0_temps0,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,1826,182590,43779,0,0.008001928175463966,False,60481,11062932,238656.0
full|extra0_ot0_temps0|retained|40.0|0|1,full,extra0_ot0_temps0,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0
full|extra0_ot0_temps0|retained|40.0|0|3,full,extra0_ot0_temps0,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0
full|extra0_ot0_temps0|retained|40.0|1|1,full,extra0_ot0_temps0,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,192393,35802,0,0,0.8431078682705581,False,4551,219978,238656.0
full|extra0_ot0_temps0|retained|40.0|1|3,full,extra0_ot0_temps0,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,192393,35802,0,0,0.8431078682705581,False,4551,219978,238656.0
