role_id,database_version,release_month,O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",20276,"Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.",Core,77,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4742,Requisition and store shipping materials and supplies to maintain inventory of stock.,Core,78,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4737,"Prepare documents, such as work orders, bills of lading, or shipping orders, to route materials.",Core,77,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",20277,"Pack, seal, label, or affix postage to prepare materials for shipping, using hand tools, power tools, or postage meter.",Core,76,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4739,"Record shipment data, such as weight, charges, space availability, damages, or discrepancies, for reporting, accounting, or recordkeeping purposes.",Core,77,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4741,"Confer or correspond with establishment representatives to rectify problems, such as damages, shortages, or nonconformance to specifications.",Core,77,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",20278,"Deliver or route materials to departments using handtruck, conveyor, or sorting bins.",Core,78,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4740,Contact carrier representatives to make arrangements or to issue instructions for shipping and delivery of materials.,Core,78,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",20279,"Determine shipping methods, routes, or rates for materials to be shipped.",Core,78,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",4744,"Compute amounts, such as space available, shipping, storage, or demurrage charges, using computer or price list.",Core,77,08/2019,Incumbent
shipping_receiving_coordinator,31.0,2026-08,43-5071.00,"Shipping, Receiving, and Inventory Clerks",19834,Compare shipping routes or methods to determine which have the least environmental impact.,Supplemental,77,08/2019,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",20830,Maintain a safe working environment by monitoring safety procedures and equipment.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8562,Collaborate with workers and managers to solve work-related problems.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8563,Review work throughout the work process and at completion to ensure that it has been performed properly.,Core,57,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8566,Inform designated employees or departments of items loaded or problems encountered.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8573,Inspect equipment for wear and for conformance to specifications.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8570,"Prepare and maintain work records and reports of information such as employee time and wages, daily receipts, or inspection results.",Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8564,Transmit and explain work orders to laborers.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8561,Plan work schedules and assign duties to maintain adequate staff for effective performance of activities and response to fluctuating workloads.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8582,"Participate in the hiring process by reviewing credentials, conducting interviews, or making hiring decisions or recommendations.",Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8579,"Estimate material, time, and staffing requirements for a given project, based on work orders, job specifications, and experience.",Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8572,"Counsel employees in work-related activities, personal growth, or career development.",Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8576,Assess training needs of staff and arrange for or provide appropriate instruction.,Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8571,"Conduct staff meetings to relay general information or to address specific topics, such as safety.",Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8565,Check specifications of materials loaded or unloaded against information contained in work orders.,Core,57,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8569,"Perform the same work duties as those supervised, or perform more difficult or skilled tasks or assist in their performance.",Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8574,"Resolve personnel problems, complaints, or formal grievances when possible, or refer them to higher-level supervisors for resolution.",Core,58,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8575,"Recommend or initiate personnel actions, such as promotions, transfers, or disciplinary measures.",Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8568,Evaluate employee performance and prepare performance appraisals.,Core,59,08/2024,Incumbent
warehouse_supervisor,31.0,2026-08,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8567,Examine freight to determine loading sequences.,Supplemental,58,08/2024,Incumbent
